"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chargers_at_chiefs_2022_reg_2","Kansas City Chiefs",1,"15:00","yes",1,10,"-KC 25","run","KC"
"chargers_at_chiefs_2022_reg_2","Kansas City Chiefs",1,"14:32","yes",2,5,"-KC 30","run","KC"
"chargers_at_chiefs_2022_reg_2","Kansas City Chiefs",1,"13:51","no",3,1,"-KC 34","run","KC"
"chargers_at_chiefs_2022_reg_2","Kansas City Chiefs",1,"13:20","yes",1,10,"-KC 40","pass","KC"
"chargers_at_chiefs_2022_reg_2","Kansas City Chiefs",1,"12:07","yes",2,8,"-LAC 48","pass","KC"
"chargers_at_chiefs_2022_reg_2","Kansas City Chiefs",1,"11:30","yes",3,2,"-LAC 42","run","KC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"10:39","yes",1,10,"-LAC 20","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"10:10","no",2,1,"-LAC 29","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"9:49","yes",1,10,"-LAC 44","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"9:42","no",2,10,"-LAC 44","run","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"9:03","yes",3,2,"-KC 48","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"8:25","no",1,10,"-KC 36","run","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"7:44","no",2,3,"-KC 29","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"7:40","yes",3,3,"-KC 29","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"7:35","yes",1,10,"-KC 21","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"7:30","no",2,10,"-KC 21","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"6:47","yes",3,13,"-KC 24","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Kansas City Chiefs",1,"5:58","no",1,10,"-KC 25","run","KC"
"chargers_at_chiefs_2022_reg_2","Kansas City Chiefs",1,"4:35","yes",3,16,"-KC 19","pass","KC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"3:47","yes",1,10,"-LAC 42","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"2:28","yes",3,6,"-LAC 46","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"2:01","no",4,1,"-KC 49","run","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,"1:20","no",1,10,"-KC 47","run","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,":47","no",2,3,"-KC 40","pass","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",1,":25","no",1,1,"-KC 1","run","LAC"
"chargers_at_chiefs_2022_reg_2","Los Angeles Chargers",2,"15:00","no",2,1,"-KC 1","pass","LAC"
