"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"14:55","yes",1,10,"-IND 28","run","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"14:19","yes",2,8,"-IND 30","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"13:36","yes",3,6,"-IND 32","pass","IND"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",1,"13:20","no",1,10,"-LAC 34","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",1,"12:48","yes",2,7,"-LAC 37","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",1,"12:26","no",3,1,"-LAC 43","run","LAC"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"11:39","yes",1,10,"-IND 15","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"11:02","no",1,10,"-IND 30","run","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"10:23","yes",2,5,"-IND 35","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"9:44","yes",1,10,"-LAC 48","run","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"9:01","yes",2,4,"-LAC 42","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"8:55","yes",3,4,"-LAC 42","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"8:32","no",1,10,"-LAC 38","pass","IND"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",1,"8:13","yes",1,10,"-LAC 41","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",1,"7:40","no",2,2,"-LAC 49","pass","LAC"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"7:28","yes",1,10,"-IND 47","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"6:48","yes",2,3,"-LAC 46","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"6:16","yes",1,10,"-LAC 39","run","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"5:41","yes",2,5,"-LAC 34","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"4:54","yes",3,14,"-LAC 43","pass","IND"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",1,"4:11","yes",2,15,"-LAC 28","pass","LAC"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",1,"3:25","no",1,10,"-IND 30","run","IND"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",1,"1:07","no",1,10,"-LAC 30","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",1,":33","no",1,10,"-LAC 45","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"15:00","no",2,11,"-LAC 44","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"14:23","yes",3,7,"-LAC 48","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"13:01","yes",2,21,"-LAC 45","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"12:25","yes",3,13,"-IND 47","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"11:46","no",1,10,"-IND 31","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"11:11","yes",2,9,"-IND 30","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"10:31","no",1,10,"-IND 12","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"9:57","yes",2,3,"-IND 5","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"9:21","no",3,1,"-IND 3","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"8:44","no",1,1,"-IND 1","run","LAC"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",2,"8:38","yes",1,10,"-IND 13","run","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",2,"8:12","yes",1,16,"-IND 7","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",2,"7:36","no",2,1,"-IND 22","run","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",2,"6:25","yes",1,15,"-IND 24","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",2,"6:01","yes",1,10,"-IND 46","run","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",2,"5:23","yes",2,2,"-LAC 46","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",2,"5:19","yes",1,10,"-LAC 31","pass","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",2,"5:13","yes",2,10,"-LAC 31","run","IND"
"chargers_at_colts_2022_reg_16","Indianapolis Colts",2,"4:34","yes",3,6,"-LAC 27","pass","IND"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"4:21","yes",1,15,"-LAC 20","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"4:04","yes",2,7,"-LAC 28","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"3:29","yes",3,5,"-LAC 30","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"2:54","yes",1,10,"-LAC 43","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"2:11","yes",2,5,"-LAC 48","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"2:00","no",3,1,"-IND 48","pass","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"1:53","yes",1,10,"-IND 23","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"1:15","yes",2,2,"-IND 15","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"1:08","yes",3,2,"-IND 15","run","LAC"
"chargers_at_colts_2022_reg_16","Los Angeles Chargers",2,"1:00","no",1,9,"-IND 9","run","LAC"
