"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"15:00","yes",1,10,"-ATL 25","pass","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"14:23","yes",2,1,"-ATL 34","run","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"13:38","no",1,10,"-ATL 41","run","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"12:46","yes",1,10,"-LAC 15","run","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"12:06","yes",2,4,"-LAC 9","pass","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"11:23","yes",1,3,"-LAC 3","pass","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"11:19","no",2,3,"-LAC 3","run","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"10:43","no",3,1,"-LAC 1","run","ATL"
"chargers_at_falcons_2022_reg_9","Los Angeles Chargers",1,"10:40","yes",1,10,"-LAC 25","pass","LAC"
"chargers_at_falcons_2022_reg_9","Los Angeles Chargers",1,"10:07","yes",2,9,"-LAC 26","pass","LAC"
"chargers_at_falcons_2022_reg_9","Los Angeles Chargers",1,"9:29","yes",3,2,"-LAC 33","pass","LAC"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"9:14","yes",1,10,"-ATL 19","run","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"8:38","no",2,5,"-ATL 24","pass","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"7:55","no",1,10,"-ATL 42","run","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"7:11","yes",2,5,"-ATL 47","run","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"6:32","yes",1,10,"-LAC 47","pass","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"5:54","no",1,10,"-LAC 35","run","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"5:18","yes",2,3,"-LAC 28","run","ATL"
"chargers_at_falcons_2022_reg_9","Atlanta Falcons",1,"4:37","yes",1,10,"-LAC 23","run","ATL"
