"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chargers_at_raiders_2022_reg_13","Las Vegas Raiders",1,"15:00","no",1,10,"-LV 25","run","LV"
"chargers_at_raiders_2022_reg_13","Las Vegas Raiders",1,"14:20","yes",2,9,"-LV 26","pass","LV"
"chargers_at_raiders_2022_reg_13","Las Vegas Raiders",1,"13:35","yes",3,4,"-LV 31","pass","LV"
"chargers_at_raiders_2022_reg_13","Los Angeles Chargers",1,"12:35","yes",2,8,"-LAC 34","run","LAC"
"chargers_at_raiders_2022_reg_13","Los Angeles Chargers",1,"11:21","no",4,3,"-LAC 39","run","LAC"
"chargers_at_raiders_2022_reg_13","Los Angeles Chargers",1,"10:36","yes",1,10,"-LAC 44","pass","LAC"
"chargers_at_raiders_2022_reg_13","Los Angeles Chargers",1,"10:31","yes",2,10,"-LAC 44","pass","LAC"
"chargers_at_raiders_2022_reg_13","Los Angeles Chargers",1,"9:56","yes",3,5,"-LAC 49","pass","LAC"
"chargers_at_raiders_2022_reg_13","Las Vegas Raiders",1,"9:41","no",1,10,"-LV 6","run","LV"
"chargers_at_raiders_2022_reg_13","Las Vegas Raiders",1,"9:03","no",2,6,"-LV 10","run","LV"
"chargers_at_raiders_2022_reg_13","Las Vegas Raiders",1,"8:21","no",1,10,"-LV 19","pass","LV"
"chargers_at_raiders_2022_reg_13","Las Vegas Raiders",1,"7:49","no",1,10,"-LV 24","pass","LV"
"chargers_at_raiders_2022_reg_13","Los Angeles Chargers",1,"7:39","no",1,10,"-LV 25","run","LAC"
"chargers_at_raiders_2022_reg_13","Los Angeles Chargers",1,"7:02","yes",2,5,"-LV 20","run","LAC"
"chargers_at_raiders_2022_reg_13","Los Angeles Chargers",1,"6:24","yes",3,2,"-LV 17","pass","LAC"
"chargers_at_raiders_2022_reg_13","Los Angeles Chargers",1,"6:16","yes",4,2,"-LV 17","run","LAC"
