"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"15:00","yes",1,10,"-HST 25","run","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"14:21","yes",2,6,"-HST 29","pass","HOU"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"13:28","no",1,10,"-HST 25","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"12:58","yes",2,11,"-HST 26","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"12:04","yes",3,3,"-HST 18","pass","LAC"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"11:53","no",1,10,"-HST 28","run","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"11:19","no",2,1,"-HST 37","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"10:41","no",1,10,"-HST 41","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"10:35","yes",1,10,"-LAC 43","run","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"9:57","yes",2,11,"-LAC 44","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"9:15","yes",3,11,"-LAC 44","pass","HOU"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"8:03","yes",1,10,"-LAC 27","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"7:58","no",2,10,"-LAC 27","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"7:20","yes",3,12,"-LAC 25","pass","LAC"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"6:26","yes",1,10,"-HST 30","run","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"5:49","no",2,10,"-HST 30","run","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"5:12","yes",3,3,"-HST 37","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"4:35","no",1,10,"-HST 44","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"4:10","no",1,10,"-LAC 34","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"4:05","yes",2,10,"-LAC 34","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",1,"3:01","yes",3,10,"-LAC 34","pass","HOU"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"2:19","no",1,10,"-LAC 36","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"2:16","yes",2,10,"-LAC 36","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"1:38","yes",3,6,"-LAC 40","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,"1:01","yes",1,10,"-HST 46","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",1,":29","no",2,4,"-HST 40","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"15:00","no",1,10,"-HST 35","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"14:18","no",2,5,"-HST 30","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"13:40","no",1,10,"-HST 15","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"13:02","yes",2,5,"-HST 10","run","LAC"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"12:57","no",1,10,"-HST 25","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"12:20","yes",2,9,"-HST 26","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"11:33","yes",3,5,"-HST 30","pass","HOU"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"11:18","no",1,10,"-LAC 27","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"10:46","no",2,7,"-LAC 30","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"10:07","no",1,10,"-HST 20","run","LAC"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"10:00","no",1,10,"-HST 25","run","HOU"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"9:44","no",1,10,"-LAC 18","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"9:22","no",1,10,"-LAC 32","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"8:45","yes",1,10,"-HST 43","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"8:08","yes",2,11,"-HST 44","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"7:30","yes",3,3,"-HST 36","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"6:50","yes",1,10,"-HST 22","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"6:09","yes",1,6,"-HST 6","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"5:29","yes",2,11,"-HST 11","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"5:21","yes",3,11,"-HST 11","pass","LAC"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"4:35","no",1,10,"-HST 25","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"3:51","yes",1,10,"-HST 45","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"3:07","yes",2,15,"-HST 40","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"2:30","no",1,10,"-LAC 38","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"2:23","no",1,10,"-LAC 33","run","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"2:00","no",2,6,"-LAC 29","run","HOU"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,":57","yes",1,10,"-LAC 32","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,":54","yes",2,10,"-LAC 32","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,":48","yes",1,10,"-HST 44","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,":41","yes",2,4,"-HST 38","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,":36","yes",2,4,"-HST 38","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,":29","yes",3,5,"-HST 39","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,":20","yes",1,10,"-HST 14","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,":15","yes",2,15,"-HST 19","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,":08","yes",3,15,"-HST 19","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"14:56","no",1,10,"-LAC 21","run","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"14:21","no",2,6,"-LAC 25","pass","LAC"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"13:40","yes",3,4,"-LAC 27","pass","LAC"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"13:27","no",1,10,"-HST 27","run","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"12:52","yes",2,2,"-HST 35","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"12:07","yes",3,5,"-HST 32","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"11:28","no",1,10,"-HST 41","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"11:23","yes",1,20,"-HST 31","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"11:18","yes",2,25,"-HST 26","pass","HOU"
"chargers_at_texans_2022_reg_4","Houston Texans",2,"10:34","yes",3,25,"-HST 26","pass","HOU"
"chargers_at_texans_2022_reg_4","Los Angeles Chargers",2,"9:55","no",1,10,"-LAC 19","run","LAC"
