"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"15:00","no",1,10,"-SF 25","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"14:27","yes",2,3,"-SF 32","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"13:10","yes",1,10,"-KC 40","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"12:32","no",2,1,"-KC 31","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"11:52","yes",1,10,"-KC 19","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"11:15","yes",2,4,"-KC 13","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"10:31","yes",3,3,"-KC 12","pass","SF"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"10:17","yes",1,10,"-KC 25","run","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"9:43","yes",2,8,"-KC 27","pass","KC"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"8:43","no",1,10,"-KC 34","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"7:58","no",2,7,"-KC 31","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"7:14","no",1,9,"-KC 9","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"6:36","yes",2,8,"-KC 8","pass","SF"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"6:24","yes",1,10,"-KC 27","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"5:46","yes",2,1,"-KC 36","run","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"5:07","no",3,1,"-KC 36","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"4:28","yes",1,10,"-SF 37","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"4:24","yes",2,10,"-SF 37","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"3:41","yes",1,10,"-SF 19","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"3:35","yes",2,10,"-SF 19","run","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"2:50","yes",3,4,"-SF 13","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"2:44","yes",3,4,"-SF 13","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",1,"2:14","yes",1,8,"-SF 8","pass","KC"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"2:01","yes",1,10,"-SF 22","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"1:57","no",2,10,"-SF 22","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",1,"1:18","yes",3,8,"-SF 24","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"15:00","yes",2,7,"-SF 48","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"14:26","no",1,10,"-KC 39","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"13:43","no",1,10,"-KC 27","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"12:58","yes",2,7,"-KC 24","pass","SF"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"12:02","yes",1,10,"-KC 10","run","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"11:29","yes",2,5,"-KC 15","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"11:03","yes",1,10,"-KC 23","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"10:35","no",1,10,"-KC 40","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"10:31","yes",1,10,"-KC 40","run","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"9:57","yes",2,1,"-KC 49","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"9:54","yes",3,1,"-KC 49","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"9:46","no",1,10,"-SF 46","run","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"9:11","yes",2,6,"-SF 42","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"8:27","no",1,10,"-SF 36","run","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"7:54","yes",2,9,"-SF 35","pass","KC"
"chiefs_at_49ers_2022_reg_7","Kansas City Chiefs",2,"7:17","no",1,10,"-SF 25","run","KC"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"7:05","yes",1,10,"-SF 14","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"6:29","yes",2,8,"-SF 16","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"5:24","no",1,15,"-SF 20","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"5:18","yes",2,15,"-SF 20","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"4:35","yes",1,10,"-KC 46","pass","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"3:50","no",1,10,"-KC 29","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"3:26","yes",1,20,"-KC 39","run","SF"
"chiefs_at_49ers_2022_reg_7","San Francisco 49ers",2,"2:00","yes",3,14,"-KC 33","pass","SF"
