"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"15:00","yes",1,10,"-CIN 25","run","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"14:25","yes",2,7,"-CIN 28","pass","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"13:44","yes",3,4,"-CIN 31","pass","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"13:03","yes",1,10,"-CIN 42","pass","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"12:27","no",2,1,"-KC 49","run","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"11:49","yes",1,10,"-KC 46","run","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"11:07","yes",2,6,"-KC 42","run","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"10:25","yes",1,10,"-KC 34","pass","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"9:42","yes",1,10,"-KC 21","pass","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"8:58","yes",1,4,"-KC 4","pass","CIN"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"8:54","yes",2,4,"-KC 4","run","CIN"
"chiefs_at_bengals_2022_reg_13","Kansas City Chiefs",1,"8:44","yes",1,10,"-KC 27","run","KC"
"chiefs_at_bengals_2022_reg_13","Kansas City Chiefs",1,"8:11","yes",2,6,"-KC 31","pass","KC"
"chiefs_at_bengals_2022_reg_13","Kansas City Chiefs",1,"7:31","yes",1,10,"-KC 47","pass","KC"
"chiefs_at_bengals_2022_reg_13","Kansas City Chiefs",1,"6:53","yes",2,10,"-KC 47","pass","KC"
"chiefs_at_bengals_2022_reg_13","Kansas City Chiefs",1,"6:10","yes",3,4,"-CIN 47","pass","KC"
"chiefs_at_bengals_2022_reg_13","Kansas City Chiefs",1,"5:37","no",1,10,"-CIN 29","run","KC"
"chiefs_at_bengals_2022_reg_13","Kansas City Chiefs",1,"4:51","yes",1,10,"-CIN 15","run","KC"
"chiefs_at_bengals_2022_reg_13","Kansas City Chiefs",1,"4:10","no",2,3,"-CIN 8","pass","KC"
"chiefs_at_bengals_2022_reg_13","Kansas City Chiefs",1,"4:03","yes",3,3,"-CIN 8","pass","KC"
"chiefs_at_bengals_2022_reg_13","Cincinnati Bengals",1,"3:50","yes",1,10,"-CIN 26","run","CIN"
