"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"15:00","yes",1,10,"-KC 25","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"14:32","yes",1,10,"-KC 37","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"14:03","yes",1,10,"-DEN 46","run","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"13:24","yes",2,4,"-DEN 40","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"12:26","yes",1,15,"-DEN 28","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"11:49","yes",2,16,"-DEN 29","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"11:44","yes",3,16,"-DEN 29","pass","KC"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"10:56","no",1,10,"-DEN 25","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"10:48","no",2,10,"-DEN 25","run","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"10:12","yes",3,9,"-DEN 26","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"9:29","no",1,10,"-DEN 36","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"9:24","yes",2,10,"-DEN 36","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"9:19","yes",3,10,"-DEN 36","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"8:43","no",1,10,"-DEN 47","run","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"8:07","no",2,6,"-KC 49","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"7:29","yes",3,4,"-KC 47","run","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"5:22","yes",3,11,"-KC 43","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"5:11","no",1,10,"-KC 20","run","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"4:30","yes",2,1,"-KC 29","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"3:46","yes",1,10,"-DEN 34","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"3:40","yes",2,10,"-DEN 34","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,"3:00","yes",3,3,"-DEN 27","pass","KC"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"2:12","yes",2,19,"-DEN 16","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",1,"1:36","yes",3,16,"-DEN 19","run","DEN"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,":57","yes",1,10,"-KC 22","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",1,":21","yes",1,10,"-KC 36","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"15:00","yes",2,2,"-KC 44","run","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"14:28","yes",3,2,"-KC 44","pass","KC"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"14:11","no",1,10,"-DEN 29","run","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"13:31","no",2,5,"-DEN 34","run","DEN"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"12:09","no",1,10,"-KC 24","run","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"11:34","yes",2,5,"-KC 29","run","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"10:59","no",1,10,"-KC 36","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"10:47","yes",3,10,"-KC 36","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"10:01","yes",1,10,"-DEN 40","run","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"9:23","no",2,6,"-DEN 36","run","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"8:53","yes",1,10,"-DEN 26","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"8:48","no",2,10,"-DEN 26","run","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"8:08","yes",3,5,"-DEN 21","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"7:27","yes",1,10,"-DEN 10","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"7:23","yes",2,10,"-DEN 10","pass","KC"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"7:16","no",1,10,"-DEN 25","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"6:49","no",2,8,"-DEN 27","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"6:23","yes",1,10,"-DEN 47","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"5:50","no",2,3,"-KC 46","run","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"5:22","yes",3,2,"-KC 45","run","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"4:32","yes",1,10,"-DEN 25","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"4:27","yes",2,10,"-DEN 25","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"3:53","yes",3,9,"-DEN 26","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"3:35","yes",1,10,"-KC 31","run","KC"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"2:53","yes",1,10,"-KC 42","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"2:21","yes",2,7,"-KC 39","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"2:00","no",1,10,"-KC 22","run","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"1:38","yes",2,6,"-KC 18","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"1:35","yes",1,10,"-KC 25","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"1:25","yes",3,7,"-KC 28","pass","KC"
"chiefs_at_broncos_2022_reg_14","Kansas City Chiefs",2,"1:17","yes",1,10,"-KC 48","pass","KC"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"1:06","yes",1,10,"-DEN 40","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,"1:02","yes",2,10,"-DEN 40","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,":57","yes",3,1,"-DEN 49","run","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,":52","yes",1,10,"-KC 38","pass","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,":48","yes",2,10,"-KC 38","run","DEN"
"chiefs_at_broncos_2022_reg_14","Denver Broncos",2,":21","yes",1,10,"-KC 19","pass","DEN"
