"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"14:56","yes",1,10,"-TB 21","run","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"14:20","yes",2,5,"-TB 16","pass","KC"
"chiefs_at_buccaneers_2022_reg_4","Tampa Bay Buccaneers",1,"14:08","no",1,10,"-TB 28","run","TB"
"chiefs_at_buccaneers_2022_reg_4","Tampa Bay Buccaneers",1,"13:35","no",2,7,"-TB 31","pass","TB"
"chiefs_at_buccaneers_2022_reg_4","Tampa Bay Buccaneers",1,"12:50","no",1,10,"-KC 44","pass","TB"
"chiefs_at_buccaneers_2022_reg_4","Tampa Bay Buccaneers",1,"12:14","no",1,10,"-KC 34","run","TB"
"chiefs_at_buccaneers_2022_reg_4","Tampa Bay Buccaneers",1,"11:42","yes",2,14,"-KC 38","pass","TB"
"chiefs_at_buccaneers_2022_reg_4","Tampa Bay Buccaneers",1,"11:03","yes",3,4,"-KC 28","pass","TB"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"10:06","yes",1,10,"-KC 21","pass","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"9:30","yes",1,10,"-KC 33","pass","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"8:58","yes",2,6,"-KC 37","pass","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"8:16","no",3,1,"-KC 42","pass","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"7:39","yes",1,10,"-KC 46","pass","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"7:34","yes",2,10,"-KC 46","pass","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"7:28","yes",3,10,"-KC 46","pass","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"6:50","no",1,10,"-TB 41","run","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"6:07","yes",2,2,"-TB 33","pass","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"5:29","no",3,1,"-TB 32","run","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"4:44","yes",1,10,"-TB 12","run","KC"
"chiefs_at_buccaneers_2022_reg_4","Kansas City Chiefs",1,"4:07","yes",2,1,"-TB 3","run","KC"
"chiefs_at_buccaneers_2022_reg_4","Tampa Bay Buccaneers",1,"4:01","no",1,10,"-TB 25","run","TB"
"chiefs_at_buccaneers_2022_reg_4","Tampa Bay Buccaneers",1,"3:18","yes",2,12,"-TB 23","pass","TB"
