"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"15:00","yes",1,10,"-KC 25","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"14:27","yes",2,1,"-KC 34","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"13:52","no",1,10,"-KC 35","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"13:15","yes",2,3,"-KC 42","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"12:36","yes",1,10,"-ARZ 40","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"12:30","yes",2,10,"-ARZ 40","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"11:54","no",1,10,"-ARZ 30","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"11:11","yes",2,7,"-ARZ 27","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"10:28","yes",3,7,"-ARZ 27","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"9:47","yes",1,9,"-ARZ 9","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"9:43","yes",2,9,"-ARZ 9","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",1,"9:37","yes",1,10,"-ARZ 25","run","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",1,"9:16","yes",2,11,"-ARZ 24","run","ARI"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"7:43","no",1,10,"-KC 14","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"7:07","yes",2,7,"-KC 17","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"7:01","no",1,10,"-KC 32","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"6:25","no",1,10,"-ARZ 43","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"5:45","yes",2,13,"-ARZ 46","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"5:03","yes",1,10,"-ARZ 26","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"4:25","yes",2,3,"-ARZ 19","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"4:03","yes",1,10,"-ARZ 14","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",1,"3:24","no",1,3,"-ARZ 3","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",1,"3:20","yes",1,10,"-ARZ 25","run","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",1,"2:44","yes",2,8,"-ARZ 27","pass","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",1,"2:06","no",1,10,"-ARZ 38","pass","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",1,"2:02","yes",2,10,"-ARZ 38","pass","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",1,"1:22","yes",3,1,"-ARZ 47","run","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",1,":45","yes",1,10,"-ARZ 49","run","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",1,":04","yes",2,18,"-ARZ 41","pass","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",2,"15:00","yes",1,10,"-KC 35","pass","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",2,"14:27","yes",2,6,"-KC 31","run","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",2,"13:52","yes",1,10,"-KC 23","run","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",2,"13:09","yes",1,2,"-KC 2","run","ARI"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"13:05","no",1,10,"-KC 25","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"12:25","yes",2,9,"-KC 26","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"11:47","no",1,10,"-KC 43","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"10:34","yes",3,2,"-ARZ 49","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"10:20","yes",1,10,"-ARZ 26","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"9:48","yes",2,3,"-ARZ 19","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"9:01","yes",1,10,"-ARZ 12","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"8:16","yes",2,4,"-ARZ 6","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"8:10","yes",3,4,"-ARZ 6","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"7:37","yes",4,2,"-ARZ 4","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",2,"7:32","yes",1,10,"-ARZ 25","pass","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",2,"6:58","yes",2,7,"-ARZ 28","pass","ARI"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",2,"6:18","yes",3,4,"-ARZ 31","pass","ARI"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"6:03","no",1,10,"-KC 25","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"5:21","yes",2,5,"-KC 30","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"4:35","yes",1,10,"-KC 35","run","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"3:58","yes",2,9,"-KC 36","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Kansas City Chiefs",2,"3:15","yes",3,3,"-KC 42","pass","KC"
"chiefs_at_cardinals_2022_reg_1","Arizona Cardinals",2,"3:03","yes",1,10,"-ARZ 20","run","ARI"
