"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"15:00","yes",1,10,"-KC 25","run","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"14:28","yes",2,7,"-KC 28","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"13:56","no",1,10,"-KC 39","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"13:49","yes",2,10,"-KC 39","run","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"13:12","yes",1,10,"-LAC 33","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"13:08","yes",2,10,"-LAC 33","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"12:25","yes",3,7,"-LAC 30","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"11:45","yes",1,10,"-LAC 21","run","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"11:05","yes",2,4,"-LAC 15","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"11:01","yes",3,4,"-LAC 15","pass","KC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"10:54","no",1,10,"-LAC 25","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"10:17","yes",1,10,"-LAC 42","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"9:33","yes",1,10,"-KC 25","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"8:52","yes",1,10,"-LAC 48","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"8:19","no",2,2,"-LAC 40","run","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"7:34","yes",1,10,"-LAC 37","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"6:51","yes",2,9,"-LAC 36","run","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"6:07","yes",3,7,"-LAC 34","pass","KC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"5:58","no",1,10,"-LAC 25","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"5:23","no",2,3,"-LAC 32","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"4:42","yes",3,2,"-LAC 33","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"4:25","no",1,10,"-LAC 48","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"3:51","no",2,2,"-KC 44","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"3:25","no",1,10,"-KC 33","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"2:48","no",2,5,"-KC 28","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"2:43","yes",3,5,"-KC 28","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",1,"2:35","no",1,10,"-KC 25","run","KC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"2:11","yes",2,21,"-KC 14","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,"1:22","yes",3,8,"-KC 27","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,":46","no",1,10,"-LAC 39","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",1,":09","yes",2,5,"-LAC 34","run","LAC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",2,"15:00","no",2,15,"-LAC 44","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",2,"14:18","yes",1,4,"-LAC 4","pass","KC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"14:07","no",1,10,"-LAC 33","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"13:26","yes",2,2,"-LAC 41","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"13:05","yes",1,10,"-LAC 48","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"12:25","yes",2,12,"-LAC 46","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",2,"11:30","no",1,10,"-KC 21","run","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",2,"10:52","yes",2,3,"-KC 28","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",2,"10:45","yes",3,3,"-KC 28","pass","KC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"10:34","no",1,10,"-LAC 30","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"10:30","yes",2,10,"-LAC 30","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"9:52","yes",3,4,"-LAC 36","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"9:14","no",1,10,"-LAC 42","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"8:29","no",2,7,"-LAC 45","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"7:45","yes",1,10,"-KC 35","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"7:08","yes",2,4,"-KC 29","pass","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"6:52","no",3,1,"-KC 26","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"6:14","no",1,10,"-KC 24","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"5:31","no",1,10,"-KC 13","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"4:52","no",2,4,"-KC 7","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"4:16","no",3,1,"-KC 4","run","LAC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"3:35","yes",1,1,"-KC 1","run","LAC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",2,"3:30","yes",1,10,"-KC 6","run","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",2,"2:56","yes",2,5,"-KC 11","pass","KC"
"chiefs_at_chargers_2022_reg_11","Kansas City Chiefs",2,"2:52","yes",3,5,"-KC 11","pass","KC"
"chiefs_at_chargers_2022_reg_11","Los Angeles Chargers",2,"2:41","yes",1,10,"-LAC 39","pass","LAC"
