"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"14:52","yes",1,10,"-IND 34","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"14:49","yes",2,10,"-IND 34","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"14:02","yes",3,5,"-IND 39","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"13:47","no",1,4,"-KC 4","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"13:10","no",2,3,"-KC 3","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"12:28","yes",3,1,"-KC 1","pass","IND"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,"12:19","no",1,10,"-KC 21","pass","KC"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,"12:13","yes",2,10,"-KC 21","run","KC"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,"11:32","yes",3,7,"-KC 24","pass","KC"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"11:16","yes",1,10,"-IND 11","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"10:43","yes",2,7,"-IND 14","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"10:19","yes",3,1,"-IND 20","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"9:46","yes",1,10,"-IND 21","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"9:14","yes",2,1,"-IND 30","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"8:36","yes",1,10,"-IND 39","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"8:30","yes",2,10,"-IND 39","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"7:46","yes",3,6,"-IND 43","pass","IND"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,"6:55","yes",1,10,"-KC 1","run","KC"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,"6:16","yes",2,10,"-KC 1","pass","KC"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,"5:35","yes",3,7,"-KC 4","pass","KC"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"4:42","no",1,10,"-IND 42","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"4:02","yes",2,7,"-IND 45","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",1,"3:29","no",3,1,"-KC 49","run","IND"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,"2:37","yes",1,10,"-IND 35","pass","KC"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,"2:02","yes",2,4,"-IND 29","run","KC"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,"1:20","yes",3,7,"-IND 32","pass","KC"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,":39","yes",1,3,"-IND 3","pass","KC"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",1,":29","yes",1,10,"-IND 29","run","KC"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",2,"15:00","yes",2,5,"-IND 34","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",2,"14:23","yes",3,4,"-IND 35","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",2,"13:47","yes",1,10,"-IND 43","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",2,"13:05","yes",1,10,"-KC 40","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",2,"13:00","yes",2,10,"-KC 40","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",2,"12:21","yes",3,3,"-KC 33","pass","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",2,"11:39","no",1,10,"-KC 26","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",2,"11:04","yes",2,7,"-KC 23","run","IND"
"chiefs_at_colts_2022_reg_3","Indianapolis Colts",2,"10:23","yes",3,7,"-KC 23","pass","IND"
"chiefs_at_colts_2022_reg_3","Kansas City Chiefs",2,"9:35","yes",1,10,"-KC 15","pass","KC"
