"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"15:00","yes",1,10,"-HST 25","pass","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"14:32","yes",1,10,"-HST 36","run","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"13:56","yes",2,7,"-HST 39","run","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"13:22","yes",3,7,"-HST 39","pass","HOU"
"chiefs_at_texans_2022_reg_15","Kansas City Chiefs",1,"13:08","yes",1,10,"-KC 19","pass","KC"
"chiefs_at_texans_2022_reg_15","Kansas City Chiefs",1,"12:31","yes",2,3,"-KC 26","run","KC"
"chiefs_at_texans_2022_reg_15","Kansas City Chiefs",1,"11:57","yes",3,2,"-KC 27","pass","KC"
"chiefs_at_texans_2022_reg_15","Kansas City Chiefs",1,"11:25","no",1,10,"-KC 31","pass","KC"
"chiefs_at_texans_2022_reg_15","Kansas City Chiefs",1,"10:44","yes",1,10,"-KC 43","pass","KC"
"chiefs_at_texans_2022_reg_15","Kansas City Chiefs",1,"10:38","yes",2,10,"-KC 43","pass","KC"
"chiefs_at_texans_2022_reg_15","Kansas City Chiefs",1,"10:02","yes",3,5,"-KC 48","pass","KC"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"9:48","yes",1,10,"-HST 15","pass","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"9:44","no",2,10,"-HST 15","run","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"9:06","yes",3,10,"-HST 15","pass","HOU"
"chiefs_at_texans_2022_reg_15","Kansas City Chiefs",1,"7:03","yes",3,14,"-KC 36","pass","KC"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"6:43","yes",1,10,"-HST 20","run","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"6:07","yes",2,1,"-HST 29","run","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"5:34","yes",1,10,"-HST 31","run","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"5:05","no",2,11,"-HST 30","pass","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"4:23","no",1,10,"-KC 36","run","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"3:47","no",2,9,"-KC 35","pass","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"3:42","yes",3,9,"-KC 35","pass","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"3:02","yes",1,10,"-KC 18","run","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"2:24","yes",2,7,"-KC 15","pass","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"1:45","yes",3,10,"-KC 18","pass","HOU"
"chiefs_at_texans_2022_reg_15","Houston Texans",1,"1:04","yes",2,8,"-KC 8","pass","HOU"
"chiefs_at_texans_2022_reg_15","Kansas City Chiefs",1,"1:01","no",1,10,"-KC 25","run","KC"
