"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"15:00","yes",1,10,"-IND 25","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"14:57","yes",2,10,"-IND 25","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"14:13","yes",3,7,"-IND 28","pass","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"13:37","yes",1,10,"-DEN 36","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"13:16","yes",2,7,"-DEN 39","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"12:42","yes",3,2,"-DEN 44","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"12:05","no",1,10,"-IND 45","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"11:29","no",1,10,"-IND 31","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"10:59","yes",2,10,"-IND 31","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"10:17","yes",1,10,"-IND 13","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"10:12","no",2,10,"-IND 13","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"9:37","yes",3,12,"-IND 15","pass","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"9:28","yes",1,10,"-IND 25","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"8:43","no",1,10,"-IND 46","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"7:15","yes",3,11,"-IND 45","pass","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"6:25","no",1,10,"-DEN 14","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"5:59","no",2,10,"-DEN 14","pass","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"5:15","no",1,10,"-IND 40","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"5:09","yes",2,10,"-IND 40","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"4:26","yes",3,9,"-IND 41","pass","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"4:12","no",1,10,"-DEN 13","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"3:32","no",2,7,"-DEN 16","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",1,"3:25","yes",3,7,"-DEN 16","pass","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"2:41","no",1,10,"-IND 32","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"2:01","no",2,4,"-IND 38","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",1,"1:22","yes",3,2,"-IND 40","pass","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"15:00","yes",2,4,"-DEN 40","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"14:28","no",1,10,"-DEN 46","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"14:01","yes",1,10,"-IND 43","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"13:23","no",2,5,"-IND 38","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"12:41","no",3,1,"-IND 34","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"11:50","yes",1,15,"-IND 36","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"11:46","yes",2,15,"-IND 36","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"11:42","yes",3,15,"-IND 36","pass","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"10:58","yes",1,10,"-IND 25","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"10:27","yes",2,7,"-IND 28","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"9:47","yes",3,3,"-IND 32","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"9:13","no",1,10,"-IND 47","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"8:34","yes",2,8,"-IND 49","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"7:38","no",1,10,"-DEN 43","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"7:03","yes",2,6,"-DEN 39","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"6:28","no",1,10,"-DEN 24","run","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"5:39","yes",1,10,"-DEN 38","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"5:36","yes",2,10,"-DEN 38","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"5:32","yes",1,10,"-IND 48","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"4:56","yes",2,6,"-IND 44","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"4:31","yes",2,16,"-DEN 46","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,"4:26","yes",3,16,"-DEN 46","pass","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"3:48","yes",1,10,"-IND 15","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"3:16","yes",1,10,"-IND 25","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"2:37","yes",2,8,"-IND 27","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"2:12","yes",1,10,"-IND 35","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"2:00","yes",2,8,"-IND 37","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"1:39","yes",1,10,"-DEN 44","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"1:34","yes",2,10,"-DEN 44","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,"1:28","yes",3,10,"-DEN 44","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",2,":21","yes",3,38,"-DEN 43","pass","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",2,":04","no",1,10,"-DEN 13","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"15:00","no",1,10,"-DEN 25","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"14:21","yes",1,10,"-DEN 35","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"13:36","yes",3,17,"-DEN 28","pass","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"12:48","yes",1,10,"-IND 34","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"12:18","no",2,5,"-IND 39","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"11:37","yes",3,3,"-IND 41","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"10:58","no",1,10,"-DEN 46","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"10:19","no",2,8,"-DEN 44","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"9:40","no",1,10,"-DEN 31","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"9:06","yes",2,11,"-DEN 32","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"9:01","yes",3,11,"-DEN 32","pass","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"8:51","no",1,10,"-DEN 25","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"8:12","yes",2,8,"-DEN 27","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"7:22","no",1,10,"-IND 22","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"6:44","no",2,1,"-IND 13","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"6:01","no",1,9,"-IND 9","run","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"4:42","yes",3,16,"-IND 16","pass","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"4:30","no",1,10,"-IND 24","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"4:26","yes",2,10,"-IND 24","pass","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"3:38","no",1,10,"-IND 27","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"3:35","yes",2,10,"-IND 27","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"3:28","yes",3,10,"-IND 27","pass","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"3:19","yes",1,10,"-IND 25","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"2:47","no",2,8,"-IND 27","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,"2:04","yes",3,6,"-IND 29","pass","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"1:52","no",1,10,"-DEN 22","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,"1:14","yes",2,3,"-DEN 29","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",3,":34","no",1,10,"-DEN 34","pass","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",3,":30","yes",2,10,"-DEN 34","pass","IND"
"colts_at_broncos_2022_reg_5","Denver Broncos",4,"15:00","yes",1,15,"-IND 37","pass","DEN"
"colts_at_broncos_2022_reg_5","Denver Broncos",4,"14:56","no",2,15,"-IND 37","run","DEN"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",4,"14:07","no",1,10,"-IND 39","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",4,"13:28","no",1,10,"-DEN 49","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",4,"13:03","yes",1,20,"-IND 41","pass","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",4,"12:38","no",1,10,"-DEN 38","run","IND"
"colts_at_broncos_2022_reg_5","Indianapolis Colts",4,"12:04","yes",2,9,"-DEN 37","run","IND"
