"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"14:55","no",1,10,"-DAL 18","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"14:22","no",2,10,"-DAL 18","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"13:47","yes",3,4,"-DAL 24","pass","DAL"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"13:31","yes",1,10,"-IND 47","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"12:59","yes",2,6,"-DAL 49","pass","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"12:42","no",1,10,"-DAL 40","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"12:12","yes",2,8,"-DAL 38","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"11:37","yes",3,4,"-DAL 34","run","IND"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"10:43","no",1,10,"-DAL 27","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"10:11","yes",2,7,"-DAL 30","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"9:43","yes",1,10,"-DAL 40","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"9:13","no",1,10,"-IND 49","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"8:41","no",2,7,"-IND 46","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"8:09","no",1,10,"-IND 36","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"7:32","no",2,5,"-IND 31","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"6:54","yes",3,2,"-IND 28","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"6:17","no",4,1,"-IND 27","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"5:41","yes",1,10,"-IND 21","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"5:37","no",2,10,"-IND 21","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"4:58","yes",3,9,"-IND 20","pass","DAL"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"4:42","no",1,10,"-IND 21","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"4:16","no",2,5,"-IND 26","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"3:46","no",1,10,"-IND 40","pass","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"3:18","yes",1,10,"-DAL 15","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"2:42","yes",2,9,"-DAL 14","pass","IND"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"2:33","no",1,10,"-DAL 16","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"2:07","yes",2,5,"-DAL 21","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"1:29","yes",3,1,"-DAL 25","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,":58","no",1,10,"-DAL 34","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,":21","yes",2,15,"-DAL 29","pass","DAL"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,":14","yes",3,15,"-DAL 29","pass","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"14:51","yes",1,10,"-IND 20","pass","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"14:48","yes",2,10,"-IND 20","run","IND"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"13:14","no",1,10,"-DAL 44","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"12:41","no",1,10,"-IND 39","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"12:05","no",2,6,"-IND 35","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"11:31","yes",3,2,"-IND 31","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"10:55","no",1,9,"-IND 9","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"10:18","yes",2,2,"-IND 2","run","DAL"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"10:11","yes",1,10,"-IND 23","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"9:22","yes",2,14,"-IND 19","pass","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"8:41","yes",3,3,"-IND 30","pass","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"8:07","yes",1,10,"-IND 36","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"7:30","no",2,5,"-IND 41","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"6:48","no",3,1,"-IND 45","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"6:12","no",1,10,"-DAL 48","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"5:32","no",2,5,"-DAL 43","pass","IND"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"4:37","no",1,10,"-DAL 12","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"4:33","no",2,10,"-DAL 12","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"4:08","no",3,1,"-DAL 21","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"3:33","no",1,10,"-DAL 35","run","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"3:01","yes",2,10,"-DAL 35","pass","DAL"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"2:44","no",1,10,"-DAL 19","run","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"2:00","yes",2,7,"-DAL 16","pass","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"1:57","yes",3,7,"-DAL 16","pass","IND"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"1:47","yes",1,10,"-DAL 25","pass","DAL"
"colts_at_cowboys_2022_reg_13","Dallas Cowboys",1,"1:42","yes",2,5,"-DAL 30","pass","DAL"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"1:19","yes",1,10,"-IND 27","pass","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"1:15","yes",2,10,"-IND 27","pass","IND"
"colts_at_cowboys_2022_reg_13","Indianapolis Colts",1,"1:12","yes",3,10,"-IND 27","pass","IND"
