"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"15:00","no",1,10,"-IND 25","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"14:25","yes",2,13,"-IND 22","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"13:43","yes",3,7,"-IND 28","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"13:38","yes",1,10,"-IND 33","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"12:57","yes",2,9,"-IND 34","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"12:24","yes",3,6,"-IND 37","pass","IND"
"colts_at_giants_2022_reg_17","New York Giants",1,"12:12","no",1,10,"-NYG 21","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,"12:07","yes",2,10,"-NYG 21","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,"11:33","yes",1,10,"-NYG 37","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,"10:55","yes",2,8,"-NYG 39","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,"10:21","no",3,1,"-NYG 46","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,"9:43","no",1,10,"-NYG 48","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,"9:05","yes",2,13,"-NYG 45","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,"8:30","yes",3,5,"-IND 47","pass","NYG"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"8:16","yes",1,10,"-IND 20","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"7:42","yes",2,5,"-IND 25","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"7:21","yes",1,10,"-IND 35","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"6:53","yes",1,20,"-IND 25","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"6:18","yes",2,12,"-IND 33","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"5:33","yes",3,8,"-IND 37","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"4:44","yes",1,10,"-NYG 14","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"3:59","yes",2,7,"-NYG 11","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",1,"3:17","yes",3,5,"-NYG 9","pass","IND"
"colts_at_giants_2022_reg_17","New York Giants",1,"2:21","no",1,10,"-NYG 29","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,"1:46","no",2,5,"-NYG 34","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,"1:12","yes",1,10,"-NYG 42","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",1,":38","yes",2,5,"-NYG 47","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"15:00","yes",1,10,"-IND 48","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"14:27","no",2,3,"-IND 41","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"13:47","yes",1,10,"-IND 22","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"13:08","yes",2,9,"-IND 21","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"12:29","no",1,9,"-IND 9","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"11:52","no",2,7,"-IND 7","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"11:23","yes",2,17,"-IND 17","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"10:44","yes",3,6,"-IND 6","pass","NYG"
"colts_at_giants_2022_reg_17","Indianapolis Colts",2,"10:38","yes",1,10,"-IND 25","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",2,"10:16","yes",1,18,"-IND 17","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",2,"10:09","yes",2,18,"-IND 17","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",2,"9:26","yes",3,9,"-IND 26","pass","IND"
"colts_at_giants_2022_reg_17","New York Giants",2,"9:10","yes",1,10,"-NYG 36","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"9:06","yes",2,10,"-NYG 36","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"8:44","yes",1,10,"-NYG 41","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"8:11","yes",2,11,"-NYG 40","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"7:32","yes",3,6,"-NYG 45","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"6:55","yes",1,10,"-IND 45","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"6:23","yes",2,9,"-IND 44","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"5:40","no",1,10,"-IND 31","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"5:02","yes",1,7,"-IND 7","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,"4:26","yes",2,6,"-IND 6","pass","NYG"
"colts_at_giants_2022_reg_17","Indianapolis Colts",2,"4:17","yes",1,10,"-IND 25","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",2,"3:34","yes",2,7,"-IND 28","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",2,"2:50","no",1,10,"-IND 38","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",2,"2:24","no",1,10,"-IND 47","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",2,"2:00","yes",2,9,"-IND 48","pass","IND"
"colts_at_giants_2022_reg_17","New York Giants",2,"1:17","yes",1,10,"-IND 42","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,":57","yes",2,4,"-IND 48","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,":46","yes",1,10,"-NYG 39","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,":40","yes",2,1,"-NYG 48","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,":37","yes",1,10,"-IND 49","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,":31","yes",2,3,"-IND 42","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,":27","yes",3,5,"-IND 44","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,":20","yes",1,10,"-IND 37","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,":14","yes",1,10,"-IND 18","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",2,":10","yes",2,10,"-IND 18","pass","NYG"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"14:53","no",1,10,"-NYG 30","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"14:14","yes",2,9,"-NYG 29","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"14:09","yes",3,9,"-NYG 29","pass","IND"
"colts_at_giants_2022_reg_17","New York Giants",3,"13:59","yes",1,10,"-NYG 38","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",3,"13:26","yes",2,10,"-NYG 38","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",3,"12:44","yes",1,10,"-IND 34","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",3,"12:03","yes",2,2,"-IND 26","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",3,"11:24","yes",1,10,"-IND 23","pass","NYG"
"colts_at_giants_2022_reg_17","New York Giants",3,"10:46","yes",2,5,"-IND 18","run","NYG"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"10:34","yes",1,10,"-IND 32","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"10:00","yes",2,7,"-IND 35","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"9:30","yes",3,3,"-IND 39","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"9:00","yes",1,10,"-IND 48","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"8:31","yes",2,7,"-NYG 49","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"7:52","no",1,10,"-NYG 37","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"7:45","yes",2,10,"-NYG 37","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"7:11","yes",3,2,"-NYG 29","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"6:43","no",4,1,"-NYG 28","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"6:11","yes",1,10,"-NYG 22","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"4:50","yes",3,16,"-NYG 28","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"4:08","yes",4,6,"-NYG 18","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"3:44","yes",1,10,"-NYG 11","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"3:01","yes",2,8,"-NYG 9","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",3,"2:13","yes",3,5,"-NYG 6","pass","IND"
"colts_at_giants_2022_reg_17","New York Giants",3,"2:00","yes",1,10,"-NYG 30","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",3,"1:19","yes",1,10,"-NYG 42","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",3,":33","yes",1,10,"-IND 33","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"15:00","yes",2,4,"-IND 27","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"14:17","yes",3,3,"-IND 26","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"13:19","no",1,10,"-IND 21","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"12:48","no",1,10,"-IND 10","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"12:04","no",2,10,"-IND 10","run","NYG"
"colts_at_giants_2022_reg_17","Indianapolis Colts",4,"11:52","no",1,10,"-IND 12","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",4,"11:12","yes",2,7,"-IND 15","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",4,"10:34","yes",1,10,"-IND 27","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",4,"9:59","no",1,10,"-IND 42","run","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",4,"9:30","yes",1,13,"-IND 39","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",4,"9:25","yes",2,13,"-IND 39","pass","IND"
"colts_at_giants_2022_reg_17","Indianapolis Colts",4,"9:21","yes",3,13,"-IND 39","pass","IND"
"colts_at_giants_2022_reg_17","New York Giants",4,"8:36","yes",1,10,"-NYG 14","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"7:50","no",2,4,"-NYG 20","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"7:07","no",1,10,"-NYG 26","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"6:23","no",2,8,"-NYG 28","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"5:38","no",1,10,"-NYG 44","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"4:57","yes",2,7,"-NYG 47","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"4:10","no",1,10,"-IND 35","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"3:27","no",2,10,"-IND 35","run","NYG"
"colts_at_giants_2022_reg_17","New York Giants",4,"2:45","yes",3,5,"-IND 30","run","NYG"
