"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",1,"15:00","yes",1,10,"-IND 25","pass","IND"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",1,"14:23","no",1,10,"-IND 44","run","IND"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",1,"13:48","yes",2,8,"-IND 46","pass","IND"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",1,"12:26","yes",1,10,"-JAX 40","pass","IND"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",1,"12:20","no",2,10,"-JAX 40","run","IND"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"11:32","no",1,10,"-JAX 32","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"11:00","no",2,7,"-JAX 35","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"10:19","yes",3,8,"-JAX 34","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"10:04","yes",1,10,"-JAX 46","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"9:27","no",2,5,"-IND 49","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"8:48","yes",3,5,"-IND 49","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"8:05","yes",4,3,"-IND 47","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"7:31","yes",1,10,"-IND 39","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"6:59","yes",1,10,"-IND 39","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"6:19","yes",2,11,"-IND 40","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"5:43","yes",3,1,"-IND 30","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"5:04","yes",1,10,"-IND 28","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"4:26","no",2,4,"-IND 22","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"3:49","yes",1,10,"-IND 16","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"3:09","no",2,12,"-IND 18","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",1,"2:27","yes",3,4,"-IND 10","pass","JAX"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",1,"2:16","no",1,10,"-IND 38","run","IND"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",1,":48","yes",3,13,"-IND 35","pass","IND"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"15:00","yes",1,10,"-JAX 16","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"14:24","yes",2,11,"-JAX 15","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"13:47","yes",3,10,"-JAX 16","pass","JAX"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",2,"13:30","no",1,10,"-IND 44","run","IND"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",2,"13:03","no",2,7,"-IND 47","run","IND"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"11:32","no",1,10,"-JAX 21","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"10:59","no",1,10,"-JAX 34","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"10:24","yes",2,8,"-JAX 36","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"9:47","yes",3,2,"-JAX 42","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"9:04","yes",1,10,"-JAX 47","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"8:41","no",1,20,"-JAX 37","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"8:02","no",1,10,"-IND 37","run","JAX"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",2,"7:44","no",1,10,"-IND 22","run","IND"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",2,"6:45","yes",2,15,"-IND 17","pass","IND"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",2,"6:03","yes",3,6,"-IND 26","pass","IND"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"5:43","no",1,10,"-JAX 25","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"5:02","no",1,10,"-JAX 39","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"4:21","no",2,2,"-JAX 47","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"3:03","yes",2,8,"-IND 48","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"3:00","yes",3,8,"-IND 48","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"2:22","yes",1,10,"-IND 40","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,"2:00","yes",2,11,"-IND 41","pass","JAX"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",2,"1:43","yes",1,10,"-IND 25","pass","IND"
"colts_at_jaguars_2022_reg_2","Indianapolis Colts",2,"1:24","yes",2,5,"-IND 30","pass","IND"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,":29","yes",2,23,"-IND 29","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,":24","yes",3,13,"-IND 39","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",2,":12","no",1,10,"-JAX 17","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",3,"15:00","no",1,10,"-JAX 25","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",3,"14:23","yes",2,11,"-JAX 24","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",3,"13:51","yes",3,6,"-JAX 29","pass","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",3,"13:11","no",1,10,"-JAX 40","run","JAX"
"colts_at_jaguars_2022_reg_2","Jacksonville Jaguars",3,"12:33","yes",2,8,"-JAX 42","pass","JAX"
