"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"15:00","no",1,10,"-NE 25","run","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"14:31","no",2,12,"-NE 23","pass","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"14:27","yes",3,12,"-NE 23","pass","NE"
"colts_at_patriots_2022_reg_9","Indianapolis Colts",1,"13:31","yes",2,13,"-IND 28","run","IND"
"colts_at_patriots_2022_reg_9","Indianapolis Colts",1,"12:25","no",1,10,"-IND 45","pass","IND"
"colts_at_patriots_2022_reg_9","Indianapolis Colts",1,"12:19","no",2,10,"-IND 45","run","IND"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"11:24","no",1,10,"-NE 9","run","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"10:48","no",2,15,"-NE 4","run","NE"
"colts_at_patriots_2022_reg_9","Indianapolis Colts",1,"9:34","no",1,10,"-NE 42","run","IND"
"colts_at_patriots_2022_reg_9","Indianapolis Colts",1,"9:02","yes",2,10,"-NE 42","run","IND"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"7:32","no",1,10,"-NE 19","run","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"6:55","no",2,9,"-NE 20","pass","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"6:14","no",3,1,"-NE 28","run","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"5:36","no",1,10,"-NE 30","run","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"4:13","yes",3,15,"-NE 25","pass","NE"
"colts_at_patriots_2022_reg_9","Indianapolis Colts",1,"3:21","no",1,10,"-IND 24","run","IND"
"colts_at_patriots_2022_reg_9","Indianapolis Colts",1,"2:47","yes",2,7,"-IND 27","run","IND"
"colts_at_patriots_2022_reg_9","New England Patriots",1,"1:16","no",1,10,"-NE 27","pass","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",1,":37","no",1,10,"-IND 49","run","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",2,"15:00","no",1,10,"-IND 38","run","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",2,"14:16","yes",2,9,"-IND 37","pass","NE"
"colts_at_patriots_2022_reg_9","New England Patriots",2,"13:40","yes",3,3,"-IND 31","pass","NE"
