"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"14:54","no",1,10,"-LV 30","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"14:47","no",2,10,"-LV 30","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"14:00","yes",3,5,"-LV 35","pass","LV"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"13:44","yes",1,15,"-IND 13","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"13:11","no",2,5,"-IND 23","run","IND"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"12:14","no",1,10,"-LV 36","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"11:57","no",1,20,"-LV 26","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"10:45","no",2,34,"-LV 12","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"10:07","yes",3,29,"-LV 17","pass","LV"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"9:51","yes",1,10,"-IND 30","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"9:12","yes",2,7,"-IND 33","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"8:34","no",1,10,"-IND 42","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"7:57","yes",2,5,"-IND 47","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"6:46","yes",1,10,"-LV 44","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"6:05","yes",2,9,"-LV 43","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"5:32","yes",1,10,"-LV 11","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"4:58","no",2,3,"-LV 4","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"4:15","yes",3,4,"-LV 5","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"3:21","no",1,1,"-LV 1","run","IND"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"3:17","no",1,10,"-LV 25","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"2:42","yes",3,6,"-LV 29","pass","LV"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"2:24","yes",1,10,"-IND 20","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",1,"1:56","yes",1,10,"-IND 32","pass","IND"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,"1:05","yes",2,12,"-IND 30","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",1,":20","yes",3,11,"-IND 31","pass","LV"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",2,"15:00","yes",1,10,"-IND 46","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",2,"14:00","yes",1,10,"-LV 37","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",2,"13:24","no",2,3,"-LV 30","run","IND"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"12:38","yes",1,10,"-LV 25","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"11:57","no",2,6,"-LV 29","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"11:16","no",1,10,"-LV 37","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"10:32","no",2,3,"-LV 44","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"9:49","yes",1,10,"-LV 48","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"9:14","yes",2,3,"-IND 45","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"8:43","no",3,2,"-IND 44","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"8:05","no",4,2,"-IND 44","run","LV"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",2,"8:00","yes",1,10,"-IND 47","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",2,"7:30","yes",2,4,"-LV 47","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",2,"6:52","no",1,10,"-LV 42","pass","IND"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"6:38","no",1,10,"-LV 21","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"6:02","yes",2,7,"-LV 24","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"5:25","no",1,10,"-LV 33","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"4:41","no",1,10,"-IND 46","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"4:02","no",2,9,"-IND 45","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"3:23","yes",3,10,"-IND 46","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"2:46","yes",3,8,"-IND 44","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"2:04","no",4,1,"-IND 37","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"2:00","no",1,10,"-IND 35","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"1:13","yes",1,10,"-IND 13","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"1:07","yes",2,6,"-IND 9","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,"1:03","no",3,1,"-IND 4","pass","LV"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",2,":58","yes",1,10,"-IND 25","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",2,":43","yes",2,4,"-IND 31","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",2,":38","yes",1,10,"-IND 37","pass","IND"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,":26","yes",1,10,"-LV 45","run","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,":11","yes",2,4,"-LV 39","pass","LV"
"colts_at_raiders_2022_reg_10","Las Vegas Raiders",2,":08","yes",3,4,"-LV 39","run","LV"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",3,"15:00","yes",1,10,"-IND 25","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",3,"14:28","yes",2,5,"-IND 30","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",3,"13:54","no",3,1,"-IND 34","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",3,"13:16","yes",1,10,"-IND 37","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",3,"12:39","yes",2,5,"-IND 42","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",3,"12:02","yes",1,10,"-LV 40","pass","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",3,"11:41","yes",2,4,"-LV 34","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",3,"11:04","yes",1,10,"-LV 25","run","IND"
"colts_at_raiders_2022_reg_10","Indianapolis Colts",3,"10:31","yes",2,5,"-LV 20","run","IND"
