"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"15:00","yes",1,10,"-IND 25","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"14:30","no",2,6,"-IND 29","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"13:51","yes",3,3,"-IND 32","run","IND"
"colts_at_texans_2022_reg_1","Houston Texans",1,"13:08","yes",1,10,"-HST 22","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",1,"12:36","no",2,6,"-HST 26","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",1,"12:09","yes",3,2,"-HST 30","pass","HOU"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"11:59","no",1,10,"-IND 26","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"11:18","no",2,10,"-IND 26","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"10:45","no",1,10,"-IND 43","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"10:11","yes",2,8,"-IND 45","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"9:28","yes",3,1,"-HST 48","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"8:48","no",1,10,"-HST 46","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"8:43","no",2,10,"-HST 46","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"8:01","yes",3,7,"-HST 43","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"7:25","no",1,10,"-HST 35","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"6:39","yes",2,5,"-HST 30","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"5:57","yes",3,7,"-HST 32","pass","IND"
"colts_at_texans_2022_reg_1","Houston Texans",1,"5:13","yes",1,10,"-HST 25","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",1,"4:42","yes",2,8,"-HST 27","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",1,"4:03","yes",3,5,"-HST 30","pass","HOU"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"3:46","no",1,10,"-IND 30","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"3:42","yes",2,10,"-IND 30","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"3:01","no",1,10,"-IND 41","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"2:22","no",1,10,"-HST 39","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"1:48","no",1,10,"-HST 22","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,"1:12","yes",2,1,"-HST 13","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",1,":41","yes",1,9,"-HST 9","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"15:00","yes",2,11,"-HST 11","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"14:52","yes",3,11,"-HST 11","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"14:14","yes",4,2,"-HST 2","run","IND"
"colts_at_texans_2022_reg_1","Houston Texans",2,"14:10","no",1,10,"-HST 4","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"13:40","no",1,10,"-HST 21","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"12:59","no",2,5,"-HST 26","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"12:14","yes",3,2,"-HST 29","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"11:46","no",1,10,"-HST 34","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"11:01","no",1,10,"-HST 48","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"10:55","yes",2,10,"-HST 48","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"10:18","no",1,10,"-IND 41","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"9:49","yes",2,8,"-IND 39","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"9:11","yes",3,2,"-IND 33","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"8:34","no",1,10,"-IND 29","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"8:27","yes",2,10,"-IND 29","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"7:58","yes",3,8,"-IND 27","pass","HOU"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"7:50","no",1,10,"-IND 25","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"7:17","no",1,10,"-HST 47","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"6:39","no",2,8,"-HST 45","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"5:55","no",3,1,"-HST 38","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"5:16","yes",1,10,"-HST 25","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"4:34","no",2,7,"-HST 22","pass","IND"
"colts_at_texans_2022_reg_1","Houston Texans",2,"4:26","no",1,10,"-HST 42","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"3:18","no",1,10,"-IND 46","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"2:48","yes",2,13,"-IND 49","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,"2:42","yes",1,10,"-IND 16","pass","HOU"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"2:37","yes",1,10,"-IND 25","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"2:15","yes",2,5,"-IND 30","run","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"2:00","yes",3,2,"-IND 33","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"1:41","yes",1,10,"-IND 38","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"1:37","yes",2,2,"-IND 46","pass","IND"
"colts_at_texans_2022_reg_1","Indianapolis Colts",2,"1:15","yes",1,10,"-HST 34","pass","IND"
"colts_at_texans_2022_reg_1","Houston Texans",2,":38","yes",1,10,"-HST 14","run","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,":33","yes",2,5,"-HST 19","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,":29","yes",3,5,"-HST 19","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,":21","yes",1,10,"-HST 25","pass","HOU"
"colts_at_texans_2022_reg_1","Houston Texans",2,":14","yes",1,10,"-HST 43","pass","HOU"
