"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"14:56","yes",1,10,"-TEN 17","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"14:12","no",2,4,"-TEN 23","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"13:29","no",1,10,"-TEN 32","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"13:05","no",1,5,"-TEN 37","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"12:30","no",2,6,"-TEN 36","pass","TEN"
"colts_at_titans_2022_reg_7","Indianapolis Colts",1,"10:53","no",1,10,"-IND 33","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",1,"10:27","yes",2,6,"-IND 37","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",1,"9:47","yes",3,3,"-IND 40","pass","IND"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"9:35","no",1,10,"-TEN 28","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"8:58","no",2,3,"-TEN 35","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"8:12","yes",3,1,"-TEN 37","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"7:31","no",1,10,"-TEN 45","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"7:00","yes",1,10,"-IND 28","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"6:25","no",2,9,"-IND 27","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"5:38","yes",3,7,"-IND 25","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"4:53","yes",1,10,"-IND 12","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"4:49","no",2,10,"-IND 12","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"4:11","yes",3,8,"-IND 10","pass","TEN"
"colts_at_titans_2022_reg_7","Indianapolis Colts",1,"4:03","yes",1,10,"-IND 25","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",1,"3:29","yes",2,5,"-IND 30","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",1,"3:03","yes",3,1,"-IND 34","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",1,"2:30","yes",1,10,"-IND 45","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",1,"2:27","yes",2,10,"-IND 45","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",1,"1:55","yes",3,10,"-IND 45","pass","IND"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,"1:10","no",1,10,"-TEN 20","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",1,":44","yes",2,1,"-TEN 29","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"15:00","yes",1,10,"-TEN 30","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"14:55","no",2,10,"-TEN 30","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"14:13","yes",3,10,"-TEN 30","pass","TEN"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"13:29","yes",1,10,"-IND 23","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"13:02","yes",2,6,"-IND 27","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"12:35","yes",1,10,"-IND 41","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"12:10","yes",2,3,"-IND 48","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"11:39","no",1,10,"-TEN 46","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"11:36","yes",2,10,"-TEN 46","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"10:51","yes",3,4,"-TEN 40","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"10:18","yes",1,10,"-TEN 26","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"9:17","yes",1,10,"-IND 20","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"8:53","yes",2,2,"-IND 28","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"8:24","yes",1,10,"-IND 32","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"7:56","no",1,10,"-IND 42","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"7:20","yes",2,11,"-IND 41","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"6:45","yes",1,10,"-TEN 45","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"6:17","yes",2,4,"-TEN 39","run","IND"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"5:41","no",1,10,"-TEN 38","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"5:06","no",2,10,"-TEN 38","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"4:59","no",1,10,"-TEN 43","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"4:14","no",1,10,"-IND 34","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"3:35","yes",2,6,"-IND 30","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"3:03","yes",1,10,"-IND 13","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"2:59","no",2,10,"-IND 13","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"2:19","yes",3,7,"-IND 10","pass","TEN"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"1:51","yes",1,10,"-IND 16","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"1:49","yes",2,10,"-IND 16","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"1:24","yes",1,10,"-IND 36","pass","IND"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"1:00","yes",1,10,"-TEN 46","pass","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,":36","yes",2,10,"-TEN 46","pass","TEN"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"14:55","yes",1,10,"-IND 17","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"14:24","yes",1,10,"-IND 28","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"13:58","yes",2,3,"-IND 35","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"13:12","yes",1,10,"-IND 38","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"12:40","yes",2,10,"-IND 38","pass","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"12:35","yes",3,15,"-IND 33","pass","IND"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"11:50","yes",1,10,"-TEN 20","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"11:13","yes",2,3,"-TEN 27","run","TEN"
"colts_at_titans_2022_reg_7","Tennessee Titans",2,"10:44","yes",3,6,"-TEN 24","pass","TEN"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"10:27","yes",1,10,"-IND 42","run","IND"
"colts_at_titans_2022_reg_7","Indianapolis Colts",2,"10:01","yes",2,9,"-IND 43","pass","IND"
