"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"14:52","no",1,10,"-IND 48","run","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"13:38","yes",2,14,"-MIN 37","pass","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"12:59","no",3,1,"-MIN 24","run","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"12:28","no",1,10,"-MIN 19","run","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"11:56","no",2,5,"-MIN 14","run","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"11:15","yes",3,6,"-MIN 15","pass","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"10:41","yes",1,4,"-MIN 4","pass","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"10:36","yes",2,4,"-MIN 4","run","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"9:59","no",3,1,"-MIN 1","run","IND"
"colts_at_vikings_2022_reg_15","Minnesota Vikings",1,"9:11","no",1,10,"-MIN 25","pass","MIN"
"colts_at_vikings_2022_reg_15","Minnesota Vikings",1,"8:50","yes",1,10,"-MIN 30","pass","MIN"
"colts_at_vikings_2022_reg_15","Minnesota Vikings",1,"8:31","yes",2,6,"-MIN 34","pass","MIN"
"colts_at_vikings_2022_reg_15","Minnesota Vikings",1,"8:24","yes",3,6,"-MIN 34","pass","MIN"
"colts_at_vikings_2022_reg_15","Minnesota Vikings",1,"8:12","no",1,10,"-MIN 25","run","MIN"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"7:20","no",1,10,"-IND 34","run","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"6:48","yes",2,7,"-IND 37","run","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"6:27","yes",3,1,"-IND 43","run","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"5:55","yes",1,10,"-IND 45","pass","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"5:15","yes",1,10,"-MIN 19","run","IND"
"colts_at_vikings_2022_reg_15","Indianapolis Colts",1,"4:36","yes",2,5,"-MIN 14","pass","IND"
