"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"14:56","yes",1,10,"-WAS 17","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"14:23","no",2,12,"-WAS 15","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"13:41","yes",3,6,"-WAS 21","pass","WAS"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"13:24","no",1,10,"-SF 35","pass","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"12:47","yes",2,1,"-SF 44","run","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"12:10","yes",1,10,"-SF 48","pass","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"12:06","yes",2,10,"-SF 48","run","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"11:26","yes",3,7,"-WAS 49","pass","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"10:41","no",1,10,"-WAS 24","run","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"10:00","yes",2,4,"-WAS 18","run","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"9:32","no",3,1,"-WAS 15","run","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"8:47","no",4,1,"-WAS 15","run","SF"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"8:41","no",1,10,"-WAS 15","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"8:05","yes",2,11,"-WAS 14","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"7:47","yes",2,18,"-WAS 7","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"7:08","yes",3,13,"-WAS 12","pass","WAS"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",1,"6:12","no",2,4,"-WAS 44","pass","SF"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"5:20","yes",1,10,"-WAS 15","pass","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"4:42","no",2,7,"-WAS 18","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"4:06","no",1,10,"-WAS 27","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"3:26","yes",2,9,"-WAS 28","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"2:52","yes",3,13,"-WAS 24","pass","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"2:12","no",1,10,"-WAS 38","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,"1:10","no",1,10,"-WAS 43","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",1,":30","yes",2,9,"-WAS 44","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"15:00","yes",3,9,"-WAS 44","pass","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"14:19","yes",1,10,"-SF 45","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"13:41","no",2,7,"-SF 42","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"12:59","yes",1,10,"-SF 32","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"12:21","no",2,8,"-SF 30","pass","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"11:43","yes",1,5,"-SF 5","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"11:00","yes",2,5,"-SF 5","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"10:20","yes",3,1,"-SF 1","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"9:37","yes",4,1,"-SF 1","run","WAS"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",2,"9:32","no",1,10,"-SF 1","run","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",2,"8:51","no",2,7,"-SF 4","run","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",2,"8:07","no",1,10,"-SF 13","run","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",2,"7:30","yes",2,9,"-SF 14","pass","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",2,"7:25","yes",3,9,"-SF 14","pass","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",2,"6:41","yes",1,10,"-SF 29","pass","SF"
"commanders_at_49ers_2022_reg_16","San Francisco 49ers",2,"6:37","yes",2,10,"-SF 29","run","SF"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"6:26","yes",1,10,"-WAS 40","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"5:44","yes",2,8,"-WAS 42","pass","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"5:08","yes",1,10,"-SF 49","pass","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"4:36","no",1,10,"-SF 49","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"3:55","no",2,10,"-SF 49","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"2:57","no",1,10,"-SF 31","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"2:20","yes",2,5,"-SF 26","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,"2:00","yes",3,5,"-SF 26","pass","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,":50","yes",2,19,"-SF 26","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,":45","yes",3,14,"-SF 21","pass","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,":30","yes",1,7,"-SF 7","run","WAS"
"commanders_at_49ers_2022_reg_16","Washington Commanders",2,":27","yes",2,4,"-SF 4","pass","WAS"
