"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"15:00","yes",1,10,"-CHI 25","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"14:27","yes",2,2,"-CHI 33","pass","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"13:51","no",1,10,"-CHI 40","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"13:09","no",2,9,"-CHI 41","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"11:55","yes",2,19,"-CHI 40","pass","CHI"
"commanders_at_bears_2022_reg_6","Washington Commanders",1,"11:07","no",1,10,"-WAS 23","run","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",1,"10:46","no",2,8,"-WAS 25","run","WAS"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"9:16","no",1,10,"-CHI 34","pass","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"8:34","yes",1,10,"-CHI 49","pass","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"8:12","no",1,15,"-CHI 44","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"7:39","yes",2,8,"-WAS 49","pass","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"7:07","no",1,10,"-WAS 30","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"6:29","no",2,5,"-WAS 25","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"5:47","yes",3,3,"-WAS 23","pass","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"5:12","no",4,1,"-WAS 21","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"4:31","no",1,10,"-WAS 19","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"3:49","no",2,5,"-WAS 14","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",1,"3:09","yes",1,6,"-WAS 6","run","CHI"
"commanders_at_bears_2022_reg_6","Washington Commanders",1,"2:18","yes",1,10,"-WAS 6","run","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",1,"1:53","yes",1,13,"-WAS 3","run","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",1,"1:13","yes",2,10,"-WAS 6","pass","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",1,":35","yes",1,10,"-WAS 24","run","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"15:00","yes",2,5,"-WAS 29","pass","WAS"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"14:01","no",1,10,"-CHI 31","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"13:10","no",1,6,"-WAS 6","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"12:51","yes",1,3,"-WAS 3","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"12:11","no",2,3,"-WAS 3","pass","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"12:06","yes",3,3,"-WAS 3","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"11:25","no",4,1,"-WAS 1","run","CHI"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"11:18","no",1,10,"-WAS 1","run","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"10:33","yes",2,9,"-WAS 2","run","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"9:50","yes",3,5,"-WAS 6","pass","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"9:10","no",1,10,"-WAS 23","pass","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"9:06","yes",2,10,"-WAS 23","pass","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"8:19","yes",3,5,"-WAS 28","pass","WAS"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"8:03","yes",1,10,"-CHI 23","pass","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"7:33","no",1,10,"-CHI 49","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"6:53","yes",2,7,"-WAS 48","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"6:14","yes",3,3,"-WAS 44","pass","CHI"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"6:01","yes",1,10,"-WAS 17","pass","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"5:26","no",1,10,"-WAS 31","run","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"4:43","yes",2,7,"-WAS 34","pass","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"3:57","yes",3,4,"-WAS 37","pass","WAS"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"3:47","no",1,10,"-CHI 21","run","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"3:20","yes",2,9,"-CHI 22","pass","CHI"
"commanders_at_bears_2022_reg_6","Chicago Bears",2,"2:40","yes",3,4,"-CHI 27","pass","CHI"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"2:23","no",1,10,"-WAS 23","run","WAS"
"commanders_at_bears_2022_reg_6","Washington Commanders",2,"2:00","yes",2,5,"-WAS 28","pass","WAS"
