"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"15:00","yes",1,10,"-IND 25","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"14:29","yes",2,8,"-IND 27","pass","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"13:53","yes",3,2,"-IND 33","pass","IND"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"13:36","no",1,10,"-WAS 17","pass","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"12:57","no",1,10,"-WAS 33","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"12:15","no",2,8,"-WAS 35","run","WAS"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"10:55","yes",1,10,"-IND 14","pass","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"10:16","yes",2,12,"-IND 12","pass","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"9:37","yes",3,5,"-IND 19","pass","IND"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"9:21","yes",1,10,"-WAS 30","pass","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"8:47","no",1,10,"-WAS 48","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"8:09","no",2,7,"-IND 49","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"7:28","yes",3,1,"-IND 43","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"6:48","no",1,10,"-IND 41","pass","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"6:41","yes",2,10,"-IND 41","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",1,"6:00","yes",3,17,"-IND 48","pass","WAS"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"5:17","no",1,10,"-IND 8","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"4:43","no",2,7,"-IND 11","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"4:05","yes",3,4,"-IND 14","pass","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"3:31","no",1,10,"-IND 24","pass","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"2:53","no",1,10,"-IND 40","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"2:19","no",2,7,"-IND 43","pass","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"1:49","yes",3,2,"-IND 48","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",1,"1:08","no",1,10,"-WAS 25","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"15:00","yes",3,15,"-WAS 30","run","IND"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"14:13","no",1,10,"-WAS 25","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"13:38","yes",2,3,"-WAS 32","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"12:54","yes",1,10,"-WAS 39","pass","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"12:08","yes",1,10,"-IND 19","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"11:45","yes",2,2,"-IND 11","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"11:01","yes",1,9,"-IND 9","pass","WAS"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"10:55","yes",1,10,"-IND 25","pass","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"10:21","yes",1,10,"-IND 40","pass","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"10:16","yes",2,10,"-IND 40","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"9:37","yes",3,8,"-IND 42","pass","IND"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"9:24","no",1,10,"-WAS 10","run","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"8:46","yes",2,6,"-WAS 14","pass","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"8:02","no",1,10,"-WAS 34","pass","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"7:15","yes",2,14,"-WAS 30","pass","WAS"
"commanders_at_colts_2022_reg_8","Washington Commanders",2,"7:11","yes",3,14,"-WAS 30","run","WAS"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"6:11","no",1,10,"-IND 19","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"5:32","yes",1,10,"-IND 47","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"4:54","no",2,1,"-WAS 44","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"4:18","yes",1,10,"-WAS 36","run","IND"
"commanders_at_colts_2022_reg_8","Indianapolis Colts",2,"3:42","yes",2,1,"-WAS 27","run","IND"
