"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"commanders_at_cowboys_2022_reg_4","Dallas Cowboys",1,"15:00","no",1,10,"-DAL 25","run","DAL"
"commanders_at_cowboys_2022_reg_4","Dallas Cowboys",1,"14:25","yes",2,5,"-DAL 30","pass","DAL"
"commanders_at_cowboys_2022_reg_4","Dallas Cowboys",1,"14:20","yes",3,5,"-DAL 30","pass","DAL"
"commanders_at_cowboys_2022_reg_4","Dallas Cowboys",1,"13:31","no",1,10,"-WAS 39","run","DAL"
"commanders_at_cowboys_2022_reg_4","Dallas Cowboys",1,"12:57","no",2,9,"-WAS 38","run","DAL"
"commanders_at_cowboys_2022_reg_4","Dallas Cowboys",1,"12:18","yes",3,8,"-WAS 37","pass","DAL"
"commanders_at_cowboys_2022_reg_4","Washington Commanders",1,"11:34","no",1,10,"-WAS 25","run","WAS"
"commanders_at_cowboys_2022_reg_4","Washington Commanders",1,"10:57","no",2,6,"-WAS 29","run","WAS"
"commanders_at_cowboys_2022_reg_4","Washington Commanders",1,"10:12","yes",1,10,"-WAS 37","pass","WAS"
"commanders_at_cowboys_2022_reg_4","Washington Commanders",1,"9:44","yes",2,7,"-WAS 40","pass","WAS"
"commanders_at_cowboys_2022_reg_4","Washington Commanders",1,"9:03","no",1,10,"-WAS 49","run","WAS"
"commanders_at_cowboys_2022_reg_4","Washington Commanders",1,"7:16","yes",3,21,"-WAS 38","pass","WAS"
"commanders_at_cowboys_2022_reg_4","Dallas Cowboys",1,"7:01","no",1,10,"-DAL 10","run","DAL"
"commanders_at_cowboys_2022_reg_4","Dallas Cowboys",1,"6:23","no",2,5,"-DAL 15","run","DAL"
"commanders_at_cowboys_2022_reg_4","Washington Commanders",1,"4:58","no",1,10,"-WAS 38","run","WAS"
"commanders_at_cowboys_2022_reg_4","Washington Commanders",1,"4:18","no",2,6,"-WAS 42","run","WAS"
