"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"14:52","yes",1,10,"-WAS 8","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"14:19","yes",2,7,"-WAS 11","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"13:37","yes",3,5,"-WAS 13","pass","WAS"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"13:12","yes",1,10,"-WAS 18","run","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"12:48","yes",1,6,"-WAS 6","run","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"12:26","no",2,1,"-WAS 1","run","PHI"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"12:21","yes",1,10,"-WAS 25","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"11:44","yes",2,7,"-WAS 28","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"11:03","yes",3,1,"-WAS 34","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"10:27","no",1,10,"-WAS 38","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"9:50","no",2,5,"-WAS 43","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"9:11","yes",3,4,"-WAS 44","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"8:28","no",1,10,"-WAS 48","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"8:22","yes",2,10,"-WAS 48","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"7:45","yes",3,2,"-PHI 44","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"7:06","yes",1,10,"-PHI 18","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"6:26","yes",2,11,"-PHI 19","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"5:41","no",1,5,"-PHI 5","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"5:03","yes",2,1,"-PHI 1","run","WAS"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"4:56","yes",1,10,"-PHI 22","run","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"4:32","yes",2,4,"-PHI 28","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"3:51","yes",1,10,"-PHI 35","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"3:18","yes",1,10,"-PHI 46","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"2:56","yes",1,10,"-WAS 44","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"2:53","yes",2,10,"-WAS 44","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"2:49","yes",3,10,"-WAS 44","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"2:26","yes",1,10,"-WAS 33","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"2:03","yes",2,3,"-WAS 26","run","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"1:39","yes",2,13,"-WAS 36","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",1,"1:33","yes",1,6,"-WAS 6","pass","PHI"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,"1:30","no",1,10,"-WAS 25","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,":49","yes",2,7,"-WAS 28","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",1,":06","yes",3,2,"-WAS 33","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"15:00","no",1,10,"-WAS 37","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"14:19","yes",2,1,"-WAS 46","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"13:41","no",1,10,"-WAS 49","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"13:36","yes",1,10,"-PHI 46","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"13:13","yes",2,8,"-PHI 44","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"13:08","yes",3,8,"-PHI 44","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"12:27","yes",1,10,"-PHI 30","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"11:49","yes",2,5,"-PHI 25","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"11:05","yes",3,1,"-PHI 21","run","WAS"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",2,"10:00","yes",1,10,"-PHI 25","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",2,"9:56","yes",2,10,"-PHI 25","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",2,"9:15","yes",3,5,"-PHI 30","pass","PHI"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"8:43","no",1,10,"-WAS 14","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"8:03","yes",2,5,"-WAS 19","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"7:24","yes",3,1,"-WAS 23","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"6:48","no",1,10,"-WAS 25","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"6:42","yes",2,10,"-WAS 25","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"6:03","yes",3,6,"-WAS 29","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"5:19","yes",1,10,"-PHI 48","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"5:13","no",2,10,"-PHI 48","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"4:32","yes",3,5,"-PHI 43","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"3:53","yes",1,10,"-PHI 25","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"3:14","yes",2,10,"-PHI 25","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"3:09","yes",3,10,"-PHI 25","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"2:26","no",4,1,"-PHI 16","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"2:00","no",1,10,"-PHI 14","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"1:49","yes",1,3,"-PHI 3","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,"1:44","yes",2,1,"-PHI 1","run","WAS"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",2,"1:39","yes",1,10,"-PHI 25","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",2,"1:35","yes",2,10,"-PHI 25","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",2,"1:16","yes",3,5,"-PHI 30","pass","PHI"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,":57","yes",2,5,"-WAS 35","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,":39","yes",3,2,"-WAS 38","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,":26","no",1,10,"-WAS 45","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,":25","yes",2,10,"-WAS 45","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,":10","no",1,10,"-PHI 40","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",2,":09","yes",2,10,"-PHI 40","pass","WAS"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",3,"15:00","yes",1,10,"-PHI 25","run","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",3,"14:27","yes",2,7,"-PHI 28","pass","PHI"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",3,"13:47","yes",3,3,"-PHI 32","pass","PHI"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"13:36","no",1,10,"-WAS 20","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"12:59","no",2,4,"-WAS 26","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"12:19","yes",3,1,"-WAS 29","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"11:19","yes",1,15,"-WAS 26","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"10:36","yes",2,12,"-WAS 29","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"10:14","no",3,1,"-WAS 40","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"9:32","no",1,10,"-WAS 42","pass","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"8:44","no",1,10,"-PHI 17","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"8:02","no",2,8,"-PHI 15","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"7:23","yes",3,1,"-PHI 8","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"6:43","no",1,6,"-PHI 6","run","WAS"
"commanders_at_eagles_2022_reg_10","Washington Commanders",3,"6:02","yes",2,3,"-PHI 3","pass","WAS"
"commanders_at_eagles_2022_reg_10","Philadelphia Eagles",3,"5:07","yes",1,10,"-PHI 20","run","PHI"
