"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"commanders_at_giants_2022_reg_13","New York Giants",1,"15:00","no",1,10,"-NYG 25","run","NYG"
"commanders_at_giants_2022_reg_13","New York Giants",1,"14:31","no",2,7,"-NYG 28","run","NYG"
"commanders_at_giants_2022_reg_13","New York Giants",1,"13:54","no",1,10,"-NYG 37","run","NYG"
"commanders_at_giants_2022_reg_13","New York Giants",1,"13:19","yes",2,5,"-NYG 42","run","NYG"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"13:06","no",1,10,"-NYG 48","run","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"12:32","yes",2,5,"-NYG 43","pass","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"11:59","yes",1,10,"-NYG 33","pass","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"11:36","yes",2,1,"-NYG 24","run","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"10:57","no",1,10,"-NYG 22","pass","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"10:52","no",2,10,"-NYG 22","run","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"10:17","no",1,6,"-NYG 6","run","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"9:33","yes",2,4,"-NYG 4","pass","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"8:51","yes",3,3,"-NYG 3","pass","WAS"
"commanders_at_giants_2022_reg_13","New York Giants",1,"8:39","no",1,10,"-NYG 25","run","NYG"
"commanders_at_giants_2022_reg_13","New York Giants",1,"7:20","yes",3,16,"-NYG 19","pass","NYG"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"6:31","no",1,10,"-WAS 38","pass","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"5:55","no",1,10,"-NYG 46","run","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"5:19","no",2,5,"-NYG 41","run","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"4:35","no",1,10,"-NYG 36","run","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"3:59","yes",2,10,"-NYG 36","pass","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"3:18","yes",1,10,"-NYG 25","run","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"2:38","yes",2,4,"-NYG 19","pass","WAS"
"commanders_at_giants_2022_reg_13","Washington Commanders",1,"2:35","yes",3,4,"-NYG 19","pass","WAS"
"commanders_at_giants_2022_reg_13","New York Giants",1,"2:27","no",1,10,"-NYG 25","pass","NYG"
"commanders_at_giants_2022_reg_13","New York Giants",1,"1:54","yes",2,2,"-NYG 33","run","NYG"
"commanders_at_giants_2022_reg_13","New York Giants",1,"1:20","no",1,10,"-NYG 38","run","NYG"
"commanders_at_giants_2022_reg_13","New York Giants",1,":47","no",2,8,"-NYG 40","run","NYG"
