"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"15:00","yes",1,10,"-DET 25","pass","DET"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"14:27","yes",2,12,"-DET 23","pass","DET"
"commanders_at_lions_2022_reg_2","Washington Commanders",1,"13:35","yes",1,10,"-WAS 32","pass","WAS"
"commanders_at_lions_2022_reg_2","Washington Commanders",1,"13:05","yes",2,6,"-WAS 36","run","WAS"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"11:32","no",1,10,"-DET 20","run","DET"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"10:55","no",2,6,"-DET 24","run","DET"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"10:18","yes",3,3,"-DET 27","pass","DET"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"9:35","no",1,10,"-WAS 24","run","DET"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"8:56","yes",2,9,"-WAS 23","pass","DET"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"8:51","yes",3,9,"-WAS 23","pass","DET"
"commanders_at_lions_2022_reg_2","Washington Commanders",1,"8:01","no",1,10,"-WAS 16","pass","WAS"
"commanders_at_lions_2022_reg_2","Washington Commanders",1,"7:55","yes",2,22,"-WAS 4","run","WAS"
"commanders_at_lions_2022_reg_2","Washington Commanders",1,"7:10","yes",3,17,"-WAS 9","pass","WAS"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"6:22","no",1,10,"-DET 43","run","DET"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"5:31","no",1,7,"-WAS 7","run","DET"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"4:50","yes",2,3,"-WAS 3","run","DET"
"commanders_at_lions_2022_reg_2","Detroit Lions",1,"4:11","yes",3,3,"-WAS 3","pass","DET"
