"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"14:55","no",1,10,"-WAS 24","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"14:16","yes",2,9,"-WAS 25","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"14:08","yes",3,9,"-WAS 25","pass","WAS"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"13:51","yes",1,10,"-HST 32","pass","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"13:16","yes",1,10,"-HST 25","run","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"12:59","no",2,13,"-HST 22","run","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"12:20","yes",3,15,"-HST 20","pass","HOU"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"11:38","no",1,10,"-WAS 42","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"10:58","no",2,11,"-WAS 41","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"10:17","yes",3,6,"-WAS 46","pass","WAS"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"10:03","no",1,10,"-HST 25","run","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"9:24","yes",2,9,"-HST 26","run","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"8:47","yes",3,8,"-HST 27","pass","HOU"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"8:28","yes",1,10,"-WAS 18","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"7:49","no",1,10,"-WAS 37","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"7:11","no",2,7,"-WAS 40","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"7:05","yes",3,7,"-WAS 40","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"5:49","yes",2,9,"-HST 49","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"5:09","yes",3,6,"-HST 46","pass","WAS"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"4:53","yes",1,10,"-HST 20","pass","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"4:21","no",2,6,"-HST 24","pass","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"3:47","no",3,1,"-HST 29","run","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"3:16","no",1,10,"-HST 31","run","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",1,"2:43","yes",2,8,"-HST 33","pass","HOU"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"1:55","no",1,10,"-WAS 15","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,"1:14","no",1,10,"-WAS 29","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",1,":29","yes",2,5,"-WAS 34","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"15:00","no",1,10,"-WAS 47","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"14:24","no",2,1,"-HST 44","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"13:41","no",1,10,"-HST 36","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"12:59","yes",2,5,"-HST 31","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"12:33","yes",1,10,"-HST 26","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"11:55","no",1,10,"-HST 10","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"11:49","no",2,10,"-HST 10","run","WAS"
"commanders_at_texans_2022_reg_11","Houston Texans",2,"11:44","no",1,10,"-HST 25","run","HOU"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"9:43","no",1,10,"-WAS 39","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"8:57","yes",2,5,"-WAS 44","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"8:13","yes",1,10,"-HST 37","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"8:07","yes",2,10,"-HST 37","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"7:42","yes",1,10,"-HST 24","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"7:04","yes",2,9,"-HST 23","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"6:17","yes",1,5,"-HST 5","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"5:39","no",2,7,"-HST 7","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"4:59","yes",3,7,"-HST 7","pass","WAS"
"commanders_at_texans_2022_reg_11","Houston Texans",2,"4:53","yes",1,10,"-HST 25","pass","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",2,"4:49","no",2,10,"-HST 25","run","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",2,"4:14","yes",3,7,"-HST 28","pass","HOU"
"commanders_at_texans_2022_reg_11","Houston Texans",2,"3:42","yes",3,17,"-HST 18","pass","HOU"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"3:00","yes",1,10,"-WAS 33","run","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"2:29","yes",1,18,"-WAS 25","pass","WAS"
"commanders_at_texans_2022_reg_11","Washington Commanders",2,"2:00","yes",2,14,"-WAS 29","pass","WAS"
