"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",1,"14:55","no",1,10,"-DAL 16","run","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",1,"14:17","yes",2,2,"-DAL 24","pass","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",1,"14:13","yes",3,2,"-DAL 24","run","DAL"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"13:11","yes",1,10,"-PHI 29","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"13:08","yes",2,10,"-PHI 29","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"11:45","yes",2,19,"-PHI 33","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"11:02","yes",3,8,"-PHI 44","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",1,"10:46","no",1,10,"-DAL 24","run","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",1,"10:08","yes",2,7,"-DAL 27","pass","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",1,"9:32","no",1,10,"-DAL 35","pass","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",1,"9:03","yes",1,10,"-DAL 35","run","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",1,"8:25","no",2,8,"-DAL 37","run","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",1,"7:44","yes",3,4,"-DAL 41","pass","DAL"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"7:31","no",1,10,"-PHI 20","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"6:46","yes",2,8,"-PHI 22","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"6:03","yes",1,10,"-PHI 43","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"5:20","yes",2,6,"-PHI 47","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"4:57","yes",1,10,"-DAL 45","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"4:53","yes",2,10,"-DAL 45","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"4:09","yes",3,5,"-DAL 40","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"3:28","yes",4,3,"-DAL 38","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"2:58","yes",1,10,"-DAL 27","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"2:35","yes",2,1,"-DAL 18","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,"2:16","no",3,1,"-DAL 18","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,":53","yes",2,12,"-DAL 18","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",1,":46","yes",3,12,"-DAL 18","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"15:00","no",1,5,"-DAL 5","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"14:47","yes",1,10,"-DAL 44","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"14:06","yes",2,1,"-DAL 35","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"13:34","yes",1,10,"-DAL 32","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"12:51","yes",2,2,"-DAL 24","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"12:13","yes",1,10,"-DAL 22","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"11:31","yes",2,2,"-DAL 14","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"10:47","yes",3,3,"-DAL 15","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",2,"10:40","no",1,10,"-DAL 25","run","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",2,"10:02","yes",2,9,"-DAL 26","pass","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",2,"9:58","yes",3,9,"-DAL 26","pass","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",2,"9:30","no",4,1,"-DAL 34","pass","DAL"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"9:24","yes",1,10,"-DAL 34","pass","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"9:16","yes",2,10,"-DAL 34","run","PHI"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"8:36","yes",3,6,"-DAL 30","run","PHI"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",2,"7:48","no",1,10,"-DAL 9","run","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",2,"7:14","no",2,9,"-DAL 10","run","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",2,"6:37","yes",1,10,"-DAL 25","pass","DAL"
"cowboys_at_eagles_2022_reg_6","Dallas Cowboys",2,"6:02","no",2,10,"-DAL 25","run","DAL"
"cowboys_at_eagles_2022_reg_6","Philadelphia Eagles",2,"5:14","yes",1,10,"-DAL 46","pass","PHI"
