"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"15:00","no",1,10,"-DAL 25","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"14:27","yes",1,10,"-DAL 40","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"13:51","yes",1,10,"-NYG 46","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"13:17","no",2,8,"-NYG 44","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"12:45","yes",2,18,"-DAL 46","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"12:41","yes",3,18,"-DAL 46","pass","DAL"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"11:53","yes",1,10,"-NYG 12","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"11:19","no",2,2,"-NYG 20","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"10:51","yes",3,3,"-NYG 19","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"10:04","yes",2,14,"-NYG 20","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"9:33","yes",3,1,"-NYG 33","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"9:05","no",1,10,"-NYG 43","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"8:35","yes",2,2,"-DAL 49","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"8:04","no",1,10,"-DAL 29","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"7:59","yes",2,10,"-DAL 29","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"7:55","yes",3,10,"-DAL 29","pass","NYG"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"7:40","no",1,10,"-DAL 37","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"7:04","no",2,4,"-DAL 43","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"6:39","no",1,10,"-NYG 46","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"6:01","no",1,10,"-NYG 27","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"5:18","no",2,5,"-NYG 22","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"4:53","no",3,3,"-NYG 20","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"4:14","yes",1,6,"-NYG 6","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"3:27","yes",2,5,"-NYG 5","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",1,"2:17","yes",3,8,"-NYG 8","pass","DAL"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"2:09","yes",1,10,"-NYG 25","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,"1:43","no",2,7,"-NYG 28","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,":55","yes",3,5,"-NYG 30","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,":32","yes",1,10,"-NYG 36","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",1,":09","yes",2,4,"-NYG 42","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"15:00","no",3,1,"-NYG 45","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"14:22","yes",1,10,"-NYG 48","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"14:18","yes",2,10,"-NYG 48","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"13:47","no",1,10,"-DAL 41","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"13:17","no",2,1,"-DAL 32","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"12:03","no",2,11,"-DAL 30","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"11:27","yes",3,5,"-DAL 24","pass","NYG"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"11:11","no",1,10,"-DAL 37","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"10:41","no",1,10,"-NYG 17","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"9:58","yes",2,7,"-NYG 14","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"9:17","yes",3,3,"-NYG 10","pass","DAL"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"9:09","yes",1,10,"-NYG 25","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"8:44","yes",1,19,"-NYG 16","pass","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"8:03","no",2,21,"-NYG 14","run","NYG"
"cowboys_at_giants_2022_reg_3","New York Giants",2,"7:38","yes",3,13,"-NYG 22","pass","NYG"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"7:23","no",1,10,"-DAL 23","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"6:41","no",2,5,"-DAL 28","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"5:51","yes",2,20,"-DAL 13","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"5:10","yes",3,12,"-DAL 21","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"4:42","no",1,10,"-DAL 48","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"4:34","no",2,10,"-DAL 48","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"4:05","no",3,1,"-NYG 43","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"3:27","no",1,10,"-NYG 40","run","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"2:48","no",2,10,"-NYG 40","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"2:43","yes",3,10,"-NYG 40","pass","DAL"
"cowboys_at_giants_2022_reg_3","Dallas Cowboys",2,"2:38","no",4,10,"-NYG 40","run","DAL"
