"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"15:00","yes",1,10,"-DAL 25","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"14:29","yes",2,5,"-DAL 30","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"13:19","yes",2,13,"-DAL 33","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"12:44","yes",3,8,"-DAL 38","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"12:03","yes",1,10,"-JAX 44","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"11:29","no",2,8,"-JAX 42","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"10:49","yes",3,7,"-JAX 41","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",1,"10:37","yes",1,10,"-JAX 9","pass","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",1,"10:04","yes",2,1,"-JAX 18","run","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",1,"9:30","yes",1,10,"-JAX 23","run","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",1,"8:55","yes",2,8,"-JAX 25","pass","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",1,"8:12","no",3,1,"-JAX 32","run","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",1,"7:35","no",1,10,"-JAX 43","pass","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",1,"7:30","yes",2,10,"-JAX 43","run","JAX"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"7:25","no",1,10,"-JAX 41","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"6:49","no",2,1,"-JAX 32","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"6:19","no",3,1,"-JAX 32","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"5:42","yes",1,10,"-JAX 29","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"5:09","yes",1,10,"-JAX 18","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"4:39","no",2,2,"-JAX 10","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",1,"3:50","yes",2,17,"-JAX 18","pass","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",1,"3:06","yes",3,7,"-JAX 28","pass","JAX"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"2:51","yes",1,10,"-DAL 14","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"2:12","yes",2,9,"-DAL 15","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"1:50","no",3,1,"-DAL 23","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,"1:16","yes",1,10,"-DAL 27","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,":39","no",2,5,"-DAL 32","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,":09","no",3,1,"-DAL 36","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",1,":06","yes",1,10,"-JAX 47","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",2,"15:00","yes",2,8,"-JAX 45","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",2,"14:22","yes",1,10,"-JAX 36","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",2,"13:47","yes",1,10,"-JAX 21","run","DAL"
"cowboys_at_jaguars_2022_reg_15","Dallas Cowboys",2,"13:08","yes",2,9,"-JAX 20","pass","DAL"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",2,"13:01","yes",1,10,"-JAX 25","run","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",2,"12:26","no",2,4,"-JAX 31","run","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",2,"11:47","yes",1,10,"-JAX 36","pass","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",2,"11:14","no",2,3,"-JAX 43","run","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",2,"10:37","no",1,10,"-JAX 47","pass","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",2,"9:56","no",1,10,"-DAL 40","pass","JAX"
"cowboys_at_jaguars_2022_reg_15","Jacksonville Jaguars",2,"9:11","no",1,10,"-DAL 27","run","JAX"
