"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"14:52","yes",1,10,"-DAL 39","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"14:30","yes",2,9,"-DAL 40","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"14:26","yes",3,9,"-DAL 40","pass","DAL"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"14:15","yes",1,10,"-GB 16","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"13:35","no",2,6,"-GB 20","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"12:53","yes",3,2,"-GB 24","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"12:30","no",1,10,"-GB 47","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"11:47","no",2,6,"-DAL 49","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"11:06","yes",3,2,"-DAL 45","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"10:27","yes",1,10,"-DAL 41","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"9:43","yes",2,5,"-DAL 36","pass","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"9:39","yes",3,5,"-DAL 36","pass","GB"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"9:28","no",1,10,"-DAL 44","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"8:51","no",2,6,"-DAL 48","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"8:45","yes",3,6,"-DAL 48","pass","DAL"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"8:31","yes",1,10,"-GB 17","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"7:54","no",2,8,"-GB 19","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"7:16","yes",1,10,"-GB 27","pass","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"6:34","no",2,2,"-GB 35","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"5:52","yes",1,10,"-DAL 48","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"5:11","yes",2,10,"-DAL 48","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",1,"4:26","yes",3,2,"-DAL 40","run","GB"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"3:13","yes",1,10,"-DAL 17","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"2:41","no",2,3,"-DAL 24","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"2:20","yes",2,13,"-DAL 14","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"1:44","no",1,10,"-DAL 28","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,"1:05","yes",2,7,"-DAL 31","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,":36","yes",3,1,"-DAL 37","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",1,":12","no",1,10,"-DAL 39","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"15:00","no",1,10,"-GB 40","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"14:23","yes",2,8,"-GB 38","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"13:57","yes",3,4,"-GB 34","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"13:37","no",4,1,"-GB 31","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"13:17","no",1,10,"-GB 30","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"13:12","no",1,5,"-GB 25","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"12:35","yes",2,4,"-GB 24","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"12:10","no",3,1,"-GB 21","run","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"11:32","yes",1,10,"-GB 19","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"10:30","no",1,8,"-GB 8","pass","DAL"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"9:57","yes",2,3,"-GB 3","pass","DAL"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",2,"9:46","no",1,10,"-GB 10","pass","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",2,"9:05","yes",2,10,"-GB 10","pass","GB"
"cowboys_at_packers_2022_reg_10","Dallas Cowboys",2,"8:15","no",1,10,"-GB 10","run","DAL"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",2,"6:57","no",1,10,"-GB 33","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",2,"6:12","no",2,8,"-GB 35","run","GB"
"cowboys_at_packers_2022_reg_10","Green Bay Packers",2,"5:46","no",2,8,"-GB 35","run","GB"
