"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"15:00","no",1,10,"-LA 25","pass","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"14:19","yes",2,7,"-LA 28","pass","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"13:27","no",1,10,"-LA 25","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"12:48","no",2,6,"-LA 29","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"12:07","yes",1,10,"-LA 38","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"11:21","yes",2,9,"-LA 39","pass","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"10:37","yes",3,3,"-LA 45","pass","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"9:56","yes",1,10,"-DAL 46","pass","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"9:52","yes",2,10,"-DAL 46","pass","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"9:49","yes",3,10,"-DAL 46","pass","LAR"
"cowboys_at_rams_2022_reg_5","Dallas Cowboys",1,"9:34","no",1,10,"-LA 20","run","DAL"
"cowboys_at_rams_2022_reg_5","Dallas Cowboys",1,"8:54","yes",2,5,"-LA 15","pass","DAL"
"cowboys_at_rams_2022_reg_5","Dallas Cowboys",1,"8:51","yes",3,5,"-LA 15","pass","DAL"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"8:43","no",1,10,"-LA 25","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"8:02","yes",2,7,"-LA 28","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"7:07","yes",1,10,"-LA 35","pass","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"6:18","no",1,10,"-DAL 11","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"5:34","yes",2,9,"-DAL 10","pass","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"5:28","yes",3,9,"-DAL 10","pass","LAR"
"cowboys_at_rams_2022_reg_5","Dallas Cowboys",1,"5:22","no",1,10,"-DAL 25","run","DAL"
"cowboys_at_rams_2022_reg_5","Dallas Cowboys",1,"4:46","yes",2,6,"-DAL 29","pass","DAL"
"cowboys_at_rams_2022_reg_5","Dallas Cowboys",1,"4:10","no",3,1,"-DAL 34","run","DAL"
"cowboys_at_rams_2022_reg_5","Dallas Cowboys",1,"3:33","yes",1,10,"-DAL 43","run","DAL"
"cowboys_at_rams_2022_reg_5","Dallas Cowboys",1,"2:55","yes",2,9,"-DAL 44","pass","DAL"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"2:00","no",1,10,"-LA 5","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,"1:20","no",2,6,"-LA 9","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",1,":35","no",3,1,"-LA 14","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",2,"15:00","no",1,10,"-LA 27","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",2,"14:15","yes",2,13,"-LA 24","run","LAR"
"cowboys_at_rams_2022_reg_5","Los Angeles Rams",2,"13:40","yes",3,17,"-LA 20","pass","LAR"
"cowboys_at_rams_2022_reg_5","Dallas Cowboys",2,"12:54","no",1,10,"-DAL 26","pass","DAL"
