"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"15:00","yes",1,10,"-DAL 25","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"14:25","no",2,6,"-DAL 29","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"13:51","no",1,10,"-DAL 42","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"13:20","yes",2,6,"-DAL 46","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"12:44","yes",3,3,"-DAL 49","pass","DAL"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"12:34","yes",1,10,"-TEN 13","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"11:55","no",1,10,"-TEN 25","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"11:19","yes",2,9,"-TEN 26","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"10:59","yes",2,16,"-TEN 19","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"10:56","yes",3,16,"-TEN 19","pass","TEN"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"10:06","no",1,10,"-DAL 40","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"9:36","yes",2,10,"-DAL 40","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"9:24","yes",2,5,"-DAL 45","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"8:52","yes",1,10,"-TEN 42","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"8:20","no",2,10,"-TEN 42","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"7:42","yes",3,5,"-TEN 37","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"7:12","no",1,10,"-TEN 30","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"6:38","yes",2,7,"-TEN 27","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"6:32","no",1,10,"-TEN 13","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"5:56","yes",2,3,"-TEN 6","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"5:16","yes",1,2,"-TEN 2","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"4:41","no",2,1,"-TEN 1","run","DAL"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"4:36","no",1,10,"-TEN 25","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"3:56","yes",2,8,"-TEN 27","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"3:53","yes",3,8,"-TEN 27","pass","TEN"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"3:37","yes",1,10,"-DAL 35","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"3:08","no",2,11,"-DAL 34","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"2:36","no",1,10,"-TEN 48","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"2:03","yes",2,9,"-TEN 47","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"1:24","yes",1,10,"-TEN 24","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,":51","yes",2,8,"-TEN 22","pass","DAL"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,":16","no",3,1,"-TEN 15","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"14:49","yes",2,10,"-TEN 25","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"14:02","yes",3,6,"-TEN 29","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"13:21","yes",1,10,"-DAL 32","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"12:35","no",2,3,"-DAL 25","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"11:47","no",3,1,"-DAL 23","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"10:20","yes",2,15,"-DAL 26","pass","TEN"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"9:55","yes",1,10,"-DAL 31","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"9:27","yes",2,3,"-DAL 38","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"9:23","yes",3,3,"-DAL 38","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"8:06","no",2,6,"-TEN 46","run","DAL"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"8:03","yes",1,10,"-TEN 48","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"7:30","yes",2,9,"-TEN 49","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"6:47","yes",3,5,"-DAL 47","pass","TEN"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"6:36","no",1,10,"-DAL 8","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"6:32","yes",2,10,"-DAL 8","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"5:57","no",1,10,"-DAL 23","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"5:50","yes",2,10,"-DAL 23","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"5:11","yes",3,11,"-DAL 22","pass","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"4:25","yes",1,10,"-DAL 34","run","DAL"
"cowboys_at_titans_2022_reg_17","Dallas Cowboys",1,"4:01","yes",2,8,"-DAL 36","pass","DAL"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"3:33","yes",1,10,"-TEN 36","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"2:48","no",1,10,"-DAL 31","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"2:08","no",2,9,"-DAL 30","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"2:04","yes",3,9,"-DAL 30","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"1:58","yes",1,10,"-DAL 20","run","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"1:12","yes",3,9,"-DAL 19","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,"1:04","yes",2,10,"-DAL 25","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,":48","yes",1,10,"-DAL 30","pass","TEN"
"cowboys_at_titans_2022_reg_17","Tennessee Titans",1,":41","yes",1,10,"-DAL 43","pass","TEN"
