"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"15:00","no",1,10,"-MIN 25","run","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"14:34","no",2,6,"-MIN 29","run","MIN"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"13:44","yes",1,10,"-MIN 27","run","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"13:05","yes",2,6,"-MIN 23","pass","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"12:24","no",3,1,"-MIN 18","run","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"11:48","no",1,10,"-MIN 16","run","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"11:12","yes",2,3,"-MIN 9","pass","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"10:29","yes",3,3,"-MIN 9","pass","DAL"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"10:22","no",1,10,"-MIN 25","pass","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"10:18","yes",1,10,"-MIN 34","run","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"9:44","yes",2,8,"-MIN 36","pass","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"8:49","yes",1,10,"-DAL 28","pass","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"8:44","yes",2,10,"-DAL 28","pass","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"8:08","yes",3,6,"-DAL 24","pass","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"7:34","no",1,10,"-DAL 14","run","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"6:50","yes",2,2,"-DAL 6","pass","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"6:45","yes",3,2,"-DAL 6","pass","MIN"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"6:39","yes",1,10,"-DAL 25","pass","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"6:06","no",2,7,"-DAL 28","run","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"5:43","yes",3,3,"-DAL 32","pass","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"5:16","no",1,10,"-DAL 46","run","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"4:43","no",1,10,"-MIN 36","run","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"3:59","no",1,10,"-MIN 16","pass","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"3:23","no",2,2,"-MIN 8","pass","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"2:41","yes",1,2,"-MIN 2","run","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"2:08","no",2,1,"-MIN 1","run","DAL"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",1,"1:31","no",3,1,"-MIN 1","run","DAL"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,"1:22","no",1,10,"-MIN 21","run","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,":51","no",2,6,"-MIN 25","pass","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",1,":11","no",1,10,"-MIN 40","run","MIN"
"cowboys_at_vikings_2022_reg_11","Minnesota Vikings",2,"15:00","yes",2,8,"-MIN 42","run","MIN"
"cowboys_at_vikings_2022_reg_11","Dallas Cowboys",2,"13:25","no",1,10,"-DAL 17","run","DAL"
