"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"dolphins_at_49ers_2022_reg_13","Miami Dolphins",1,"15:00","yes",1,10,"-MIA 25","pass","MIA"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"14:45","no",1,10,"-SF 17","run","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"14:08","yes",2,7,"-SF 20","pass","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"14:04","yes",3,7,"-SF 20","pass","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"13:27","yes",1,10,"-SF 43","run","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"12:46","yes",2,9,"-SF 44","pass","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"12:08","yes",1,10,"-MIA 23","run","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"11:26","yes",2,6,"-MIA 19","pass","SF"
"dolphins_at_49ers_2022_reg_13","Miami Dolphins",1,"10:31","yes",1,10,"-MIA 24","pass","MIA"
"dolphins_at_49ers_2022_reg_13","Miami Dolphins",1,"10:28","yes",2,10,"-MIA 24","run","MIA"
"dolphins_at_49ers_2022_reg_13","Miami Dolphins",1,"9:47","yes",3,6,"-MIA 28","pass","MIA"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"9:30","no",1,10,"-SF 46","run","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"8:45","no",2,7,"-SF 49","run","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"8:07","yes",3,3,"-MIA 47","pass","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"7:25","no",1,10,"-MIA 40","run","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"6:47","no",1,10,"-MIA 29","pass","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"6:42","yes",2,10,"-MIA 29","pass","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"6:37","yes",3,10,"-MIA 29","pass","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"6:29","yes",1,10,"-MIA 15","run","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"5:41","yes",2,1,"-MIA 6","run","SF"
"dolphins_at_49ers_2022_reg_13","San Francisco 49ers",1,"4:57","yes",1,3,"-MIA 3","pass","SF"
