"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"15:00","yes",1,10,"-CHI 25","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"14:24","yes",2,3,"-CHI 32","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"13:44","yes",1,10,"-CHI 44","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"13:07","no",2,9,"-CHI 45","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"12:30","yes",3,2,"-MIA 48","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"12:23","no",1,10,"-MIA 20","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"11:42","yes",2,10,"-MIA 20","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"11:37","yes",3,10,"-MIA 20","run","CHI"
"dolphins_at_bears_2022_reg_9","Miami Dolphins",1,"11:03","no",1,10,"-MIA 25","run","MIA"
"dolphins_at_bears_2022_reg_9","Miami Dolphins",1,"10:25","yes",2,8,"-MIA 27","pass","MIA"
"dolphins_at_bears_2022_reg_9","Miami Dolphins",1,"9:49","yes",1,10,"-MIA 44","pass","MIA"
"dolphins_at_bears_2022_reg_9","Miami Dolphins",1,"9:11","yes",2,7,"-MIA 47","run","MIA"
"dolphins_at_bears_2022_reg_9","Miami Dolphins",1,"8:28","yes",3,5,"-MIA 49","pass","MIA"
"dolphins_at_bears_2022_reg_9","Miami Dolphins",1,"7:42","yes",1,10,"-CHI 33","pass","MIA"
"dolphins_at_bears_2022_reg_9","Miami Dolphins",1,"7:35","yes",1,1,"-CHI 1","run","MIA"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"7:33","no",1,10,"-CHI 25","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"6:57","no",2,9,"-CHI 26","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"6:22","no",3,1,"-CHI 34","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"5:40","yes",1,10,"-CHI 35","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"5:37","yes",2,10,"-CHI 35","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"5:04","yes",1,10,"-CHI 47","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"4:25","yes",2,8,"-CHI 49","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"4:22","yes",3,8,"-CHI 49","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"3:37","no",1,10,"-MIA 39","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"3:01","no",2,6,"-MIA 35","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"2:23","yes",3,2,"-MIA 31","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,"1:44","no",1,10,"-MIA 28","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,":57","yes",2,9,"-MIA 27","run","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",1,":18","yes",3,10,"-MIA 28","pass","CHI"
"dolphins_at_bears_2022_reg_9","Chicago Bears",2,"15:00","no",1,10,"-MIA 18","pass","CHI"
"dolphins_at_bears_2022_reg_9","Miami Dolphins",2,"14:52","yes",1,10,"-MIA 25","pass","MIA"
