"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"15:00","yes",1,10,"-CIN 25","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"14:28","yes",2,9,"-CIN 26","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"13:46","yes",3,1,"-CIN 34","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"13:04","yes",1,10,"-MIA 47","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"12:33","no",1,10,"-MIA 37","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"11:54","no",2,8,"-MIA 35","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"11:15","yes",1,5,"-MIA 9","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"11:12","yes",2,5,"-MIA 9","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"10:26","no",3,1,"-MIA 5","run","CIN"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"10:19","no",1,10,"-MIA 25","run","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"9:38","no",2,3,"-MIA 32","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"8:59","yes",1,10,"-CIN 42","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"8:18","yes",1,10,"-CIN 22","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"8:15","yes",2,10,"-CIN 22","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"7:38","yes",1,10,"-CIN 11","run","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"6:55","yes",2,11,"-CIN 12","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"6:13","yes",3,4,"-CIN 5","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"6:05","no",1,10,"-CIN 25","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"6:01","yes",2,10,"-CIN 25","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"5:16","yes",3,1,"-CIN 34","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"4:35","no",1,10,"-CIN 37","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"3:51","yes",2,8,"-CIN 39","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"3:47","yes",3,8,"-CIN 39","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"3:36","yes",1,10,"-MIA 13","run","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"3:12","yes",1,16,"-MIA 7","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"2:29","yes",2,13,"-MIA 10","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"1:51","yes",1,10,"-MIA 31","run","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,"1:14","yes",2,8,"-MIA 33","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",1,"1:06","yes",1,10,"-CIN 29","run","CIN"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",1,":31","yes",2,3,"-CIN 36","run","MIA"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"15:00","no",3,1,"-CIN 38","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"14:12","no",1,10,"-MIA 44","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"13:36","no",2,5,"-MIA 39","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"12:59","yes",3,1,"-MIA 35","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"12:16","no",1,10,"-MIA 33","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"12:12","yes",2,10,"-MIA 33","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"11:33","yes",3,5,"-MIA 28","run","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"10:45","no",4,1,"-MIA 24","run","CIN"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"10:39","no",1,10,"-MIA 24","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"10:37","yes",1,15,"-MIA 19","run","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"9:58","yes",2,11,"-MIA 23","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"9:17","yes",1,10,"-MIA 40","run","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"8:33","yes",2,9,"-MIA 41","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"7:57","yes",3,4,"-MIA 46","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"7:52","yes",1,10,"-CIN 30","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"7:48","yes",2,10,"-CIN 30","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"7:43","yes",3,10,"-CIN 30","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"7:31","yes",1,10,"-CIN 25","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"6:56","yes",2,5,"-CIN 30","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Cincinnati Bengals",2,"6:52","yes",3,5,"-CIN 30","pass","CIN"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"6:38","yes",1,10,"-MIA 42","pass","MIA"
"dolphins_at_bengals_2022_reg_4","Miami Dolphins",2,"6:31","no",1,10,"-CIN 43","run","MIA"
