"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"14:52","no",1,10,"-MIA 36","run","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"14:14","no",1,10,"-MIA 49","run","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"13:30","yes",2,6,"-BUF 47","pass","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"13:24","yes",3,11,"-MIA 48","pass","MIA"
"dolphins_at_bills_2022_reg_15","Buffalo Bills",1,"13:06","yes",1,10,"-BUF 7","pass","BUF"
"dolphins_at_bills_2022_reg_15","Buffalo Bills",1,"12:24","no",1,10,"-BUF 18","pass","BUF"
"dolphins_at_bills_2022_reg_15","Buffalo Bills",1,"11:43","yes",1,10,"-BUF 34","pass","BUF"
"dolphins_at_bills_2022_reg_15","Buffalo Bills",1,"11:38","no",2,10,"-BUF 34","run","BUF"
"dolphins_at_bills_2022_reg_15","Buffalo Bills",1,"10:56","yes",3,9,"-BUF 35","pass","BUF"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"10:44","yes",1,10,"-MIA 27","run","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"10:07","yes",2,1,"-MIA 36","run","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"9:26","no",3,1,"-MIA 36","run","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"8:31","yes",1,15,"-MIA 33","pass","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"7:50","yes",1,10,"-BUF 47","pass","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"7:46","yes",2,10,"-BUF 47","pass","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"7:03","yes",1,10,"-BUF 32","pass","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"6:27","no",2,5,"-BUF 27","pass","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"6:23","yes",3,5,"-BUF 27","pass","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"5:52","no",4,1,"-BUF 23","run","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"5:13","no",1,10,"-BUF 20","run","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"4:33","yes",2,6,"-BUF 16","run","MIA"
"dolphins_at_bills_2022_reg_15","Buffalo Bills",1,"2:59","yes",1,10,"-BUF 25","run","BUF"
"dolphins_at_bills_2022_reg_15","Buffalo Bills",1,"2:24","no",2,7,"-BUF 28","pass","BUF"
"dolphins_at_bills_2022_reg_15","Buffalo Bills",1,"1:42","yes",1,10,"-MIA 27","pass","BUF"
"dolphins_at_bills_2022_reg_15","Buffalo Bills",1,"1:09","yes",1,10,"-MIA 14","pass","BUF"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,"1:05","no",1,10,"-MIA 25","run","MIA"
"dolphins_at_bills_2022_reg_15","Miami Dolphins",1,":37","no",1,4,"-BUF 4","run","MIA"
