"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"dolphins_at_chargers_2022_reg_14","Miami Dolphins",1,"15:00","no",1,10,"-MIA 25","pass","MIA"
"dolphins_at_chargers_2022_reg_14","Miami Dolphins",1,"14:54","yes",2,10,"-MIA 25","pass","MIA"
"dolphins_at_chargers_2022_reg_14","Miami Dolphins",1,"14:50","yes",3,10,"-MIA 25","pass","MIA"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"14:37","no",1,10,"-LAC 20","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"14:07","no",1,10,"-LAC 31","run","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"13:29","no",1,10,"-LAC 42","run","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"12:54","no",2,10,"-LAC 42","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"12:47","yes",3,10,"-LAC 42","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"12:39","yes",1,10,"-LAC 47","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"12:03","yes",1,10,"-MIA 42","run","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"11:28","no",2,11,"-MIA 43","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"10:48","yes",3,9,"-MIA 41","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"10:04","yes",1,10,"-MIA 18","run","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"9:32","no",2,9,"-MIA 17","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"8:56","yes",3,4,"-MIA 12","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"8:16","yes",1,5,"-MIA 5","run","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"7:30","yes",2,5,"-MIA 5","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"6:46","yes",3,6,"-MIA 6","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"6:02","yes",4,2,"-MIA 2","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Miami Dolphins",1,"5:58","yes",1,10,"-MIA 2","run","MIA"
"dolphins_at_chargers_2022_reg_14","Miami Dolphins",1,"5:25","yes",2,9,"-MIA 3","pass","MIA"
"dolphins_at_chargers_2022_reg_14","Miami Dolphins",1,"5:20","yes",3,9,"-MIA 3","pass","MIA"
"dolphins_at_chargers_2022_reg_14","Miami Dolphins",1,"4:42","yes",1,10,"-MIA 16","pass","MIA"
"dolphins_at_chargers_2022_reg_14","Miami Dolphins",1,"3:57","yes",2,10,"-MIA 16","run","MIA"
"dolphins_at_chargers_2022_reg_14","Miami Dolphins",1,"2:49","yes",3,15,"-MIA 11","pass","MIA"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"2:36","no",1,10,"-LAC 43","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"1:57","yes",1,10,"-MIA 38","run","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,"1:18","no",2,5,"-MIA 33","run","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",1,":21","yes",1,10,"-MIA 20","pass","LAC"
"dolphins_at_chargers_2022_reg_14","Los Angeles Chargers",2,"15:00","yes",3,16,"-MIA 26","pass","LAC"
