"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"dolphins_at_jets_2022_reg_5","New York Jets",1,"15:00","yes",1,10,"-NYJ 25","pass","NYJ"
"dolphins_at_jets_2022_reg_5","New York Jets",1,"14:26","yes",1,10,"-NYJ 36","pass","NYJ"
"dolphins_at_jets_2022_reg_5","New York Jets",1,"13:44","no",2,4,"-NYJ 42","run","NYJ"
"dolphins_at_jets_2022_reg_5","New York Jets",1,"13:00","yes",3,2,"-NYJ 44","pass","NYJ"
"dolphins_at_jets_2022_reg_5","Miami Dolphins",1,"12:48","no",1,10,"-MIA 8","pass","MIA"
"dolphins_at_jets_2022_reg_5","New York Jets",1,"12:31","yes",1,10,"-NYJ 49","pass","NYJ"
"dolphins_at_jets_2022_reg_5","New York Jets",1,"11:54","no",1,10,"-MIA 40","run","NYJ"
"dolphins_at_jets_2022_reg_5","New York Jets",1,"11:14","yes",2,9,"-MIA 39","pass","NYJ"
"dolphins_at_jets_2022_reg_5","Miami Dolphins",1,"9:43","no",1,10,"-MIA 3","run","MIA"
"dolphins_at_jets_2022_reg_5","Miami Dolphins",1,"9:10","no",1,11,"-MIA 2","pass","MIA"
"dolphins_at_jets_2022_reg_5","Miami Dolphins",1,"8:33","yes",2,5,"-MIA 8","run","MIA"
"dolphins_at_jets_2022_reg_5","Miami Dolphins",1,"7:50","no",3,1,"-MIA 12","pass","MIA"
"dolphins_at_jets_2022_reg_5","Miami Dolphins",1,"7:44","yes",1,10,"-MIA 46","pass","MIA"
"dolphins_at_jets_2022_reg_5","Miami Dolphins",1,"7:36","yes",2,10,"-MIA 46","pass","MIA"
"dolphins_at_jets_2022_reg_5","Miami Dolphins",1,"7:32","yes",3,10,"-MIA 46","run","MIA"
"dolphins_at_jets_2022_reg_5","Miami Dolphins",1,"6:51","yes",3,20,"-MIA 36","pass","MIA"
"dolphins_at_jets_2022_reg_5","New York Jets",1,"6:39","no",1,10,"-NYJ 28","pass","NYJ"
