"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"15:00","yes",1,10,"-DET 25","pass","DET"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"14:09","no",2,8,"-MIA 48","pass","DET"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"13:27","no",1,10,"-MIA 21","pass","DET"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"13:03","no",1,7,"-MIA 7","run","DET"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"12:59","no",1,10,"-MIA 25","run","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"12:22","no",1,10,"-MIA 37","pass","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"11:41","no",2,5,"-MIA 42","run","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"10:18","yes",2,18,"-MIA 42","pass","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"9:37","yes",3,14,"-MIA 46","pass","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"8:53","yes",4,4,"-DET 44","pass","MIA"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"8:07","no",1,10,"-DET 22","run","DET"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"7:36","no",2,7,"-DET 25","pass","DET"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"6:57","yes",3,2,"-DET 30","pass","DET"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"6:23","no",1,10,"-MIA 12","run","DET"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"5:45","no",2,5,"-MIA 7","pass","DET"
"dolphins_at_lions_2022_reg_8","Detroit Lions",1,"5:40","yes",3,5,"-MIA 7","pass","DET"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"5:32","yes",1,10,"-MIA 20","pass","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"4:55","no",1,10,"-MIA 44","pass","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"4:09","no",2,3,"-DET 49","run","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"3:41","yes",2,13,"-MIA 41","pass","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"3:37","yes",3,13,"-MIA 41","pass","MIA"
"dolphins_at_lions_2022_reg_8","Miami Dolphins",1,"2:53","no",1,10,"-DET 23","run","MIA"
