"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"14:55","no",1,10,"-MIA 23","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"14:17","yes",2,8,"-MIA 25","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"13:38","no",1,10,"-MIA 40","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"12:29","yes",2,13,"-MIA 37","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"11:49","yes",3,6,"-MIA 44","pass","MIA"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"11:33","yes",1,10,"-NE 19","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"11:30","no",2,10,"-NE 19","run","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"10:52","yes",3,5,"-NE 24","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"10:47","yes",1,10,"-NE 33","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"10:09","yes",1,10,"-MIA 41","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"9:31","no",1,10,"-MIA 24","run","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"8:48","yes",2,2,"-MIA 16","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"8:44","yes",3,2,"-MIA 16","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"8:38","yes",1,10,"-MIA 11","run","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"7:55","yes",2,7,"-MIA 8","run","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",1,"7:19","yes",3,6,"-MIA 7","pass","NE"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"7:15","yes",1,10,"-MIA 25","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"6:40","yes",2,7,"-MIA 28","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"6:34","yes",3,7,"-MIA 28","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"5:32","no",4,1,"-MIA 34","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"4:50","no",1,10,"-MIA 36","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"4:07","no",2,8,"-MIA 38","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"3:22","yes",3,6,"-MIA 40","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"2:45","no",1,10,"-NE 47","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"2:04","no",2,6,"-NE 43","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,"1:35","no",1,10,"-NE 24","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,":51","yes",2,5,"-NE 19","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",1,":11","yes",1,5,"-NE 5","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"15:00","no",2,2,"-NE 2","run","MIA"
"dolphins_at_patriots_2022_reg_17","New England Patriots",2,"14:55","no",1,10,"-NE 25","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",2,"14:21","yes",2,5,"-NE 30","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",2,"13:45","yes",3,6,"-NE 29","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",2,"12:48","no",2,19,"-NE 49","run","NE"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"11:19","no",1,10,"-MIA 20","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"10:37","yes",2,6,"-MIA 24","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"10:02","no",1,10,"-MIA 32","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"9:25","yes",2,4,"-MIA 38","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"8:41","yes",3,3,"-MIA 39","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"7:50","yes",1,10,"-NE 36","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"7:09","no",2,8,"-NE 34","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"6:30","yes",3,7,"-NE 33","pass","MIA"
"dolphins_at_patriots_2022_reg_17","New England Patriots",2,"6:21","no",1,15,"-NE 36","run","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",2,"5:46","yes",2,12,"-NE 39","pass","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",2,"5:42","yes",3,12,"-NE 39","pass","NE"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"5:28","no",1,10,"-MIA 14","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"4:51","yes",2,6,"-MIA 18","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"4:09","yes",1,10,"-MIA 27","pass","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"3:28","no",2,1,"-MIA 36","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"2:48","no",1,10,"-MIA 47","run","MIA"
"dolphins_at_patriots_2022_reg_17","Miami Dolphins",2,"2:00","yes",3,22,"-MIA 35","pass","MIA"
"dolphins_at_patriots_2022_reg_17","New England Patriots",2,"1:45","no",1,10,"-NE 2","run","NE"
"dolphins_at_patriots_2022_reg_17","New England Patriots",2,"1:13","yes",1,10,"-NE 13","pass","NE"
