"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"dolphins_at_ravens_2022_reg_2","Miami Dolphins",1,"14:47","no",1,10,"-MIA 25","run","MIA"
"dolphins_at_ravens_2022_reg_2","Miami Dolphins",1,"14:16","yes",2,3,"-MIA 32","pass","MIA"
"dolphins_at_ravens_2022_reg_2","Miami Dolphins",1,"13:31","yes",1,10,"-MIA 38","pass","MIA"
"dolphins_at_ravens_2022_reg_2","Miami Dolphins",1,"12:54","yes",1,10,"-BLT 48","run","MIA"
"dolphins_at_ravens_2022_reg_2","Miami Dolphins",1,"12:16","yes",2,7,"-BLT 45","pass","MIA"
"dolphins_at_ravens_2022_reg_2","Miami Dolphins",1,"12:10","yes",3,7,"-BLT 45","pass","MIA"
"dolphins_at_ravens_2022_reg_2","Miami Dolphins",1,"11:26","no",1,10,"-BLT 33","run","MIA"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"10:35","yes",1,10,"-BLT 20","run","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"10:13","yes",2,7,"-BLT 23","pass","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"10:08","yes",3,7,"-BLT 23","pass","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"9:21","no",1,10,"-BLT 40","run","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"8:42","yes",2,4,"-BLT 46","run","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"7:57","no",3,1,"-BLT 49","run","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"7:15","no",1,10,"-MIA 46","pass","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"6:40","no",2,1,"-MIA 37","run","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"5:58","no",3,1,"-MIA 37","run","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"5:12","no",4,1,"-MIA 37","run","BAL"
"dolphins_at_ravens_2022_reg_2","Baltimore Ravens",1,"4:07","yes",1,15,"-MIA 39","pass","BAL"
