"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"14:54","yes",1,10,"-CHI 25","pass","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"13:56","yes",2,11,"-CHI 24","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"12:20","no",2,3,"-PHI 48","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"11:44","no",3,1,"-PHI 46","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"10:58","no",1,10,"-PHI 39","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"10:20","no",2,8,"-PHI 37","pass","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"9:39","yes",3,1,"-PHI 30","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"9:03","yes",4,3,"-PHI 32","pass","CHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"8:59","yes",1,10,"-PHI 32","run","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"8:31","yes",2,4,"-PHI 38","run","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"7:47","yes",3,3,"-PHI 39","pass","PHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"7:19","no",1,10,"-CHI 17","pass","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"6:41","no",2,3,"-CHI 24","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"6:01","no",1,10,"-CHI 28","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"5:12","yes",2,3,"-CHI 35","pass","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"4:38","yes",1,10,"-CHI 39","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"4:04","yes",2,12,"-CHI 37","run","CHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"2:39","yes",1,10,"-PHI 35","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"2:32","yes",2,10,"-PHI 35","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"2:26","yes",3,10,"-PHI 35","pass","PHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"2:09","yes",1,10,"-CHI 29","pass","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"1:44","yes",1,10,"-CHI 42","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"1:19","yes",2,7,"-CHI 45","pass","CHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"14:52","yes",1,10,"-PHI 19","run","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"14:14","yes",2,8,"-PHI 21","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"13:33","yes",1,10,"-CHI 34","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"13:27","yes",2,10,"-CHI 34","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"13:06","yes",1,10,"-CHI 18","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"12:40","yes",2,9,"-CHI 17","run","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"12:20","yes",2,15,"-CHI 23","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"12:15","yes",3,15,"-CHI 23","pass","PHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"11:50","yes",1,10,"-CHI 25","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"11:19","yes",2,8,"-CHI 27","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"10:43","yes",3,4,"-CHI 31","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"9:59","no",1,10,"-CHI 46","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"9:13","yes",2,8,"-CHI 48","pass","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"7:40","yes",2,27,"-PHI 48","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"6:52","no",1,9,"-PHI 9","run","CHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"6:41","no",1,10,"-PHI 18","run","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"6:03","yes",2,9,"-PHI 19","run","PHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"5:15","yes",1,10,"-PHI 25","pass","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"5:12","yes",2,10,"-PHI 25","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"4:36","yes",1,10,"-PHI 14","run","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"3:53","yes",2,16,"-PHI 20","pass","CHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,"3:04","no",4,26,"-PHI 30","run","CHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"2:49","yes",1,10,"-PHI 9","run","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"2:14","yes",2,4,"-PHI 15","run","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"2:00","yes",1,10,"-PHI 20","run","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"1:29","yes",2,4,"-PHI 26","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"1:16","yes",2,3,"-PHI 38","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"1:11","yes",3,3,"-PHI 38","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,"1:03","yes",1,10,"-CHI 24","pass","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,":57","yes",2,8,"-CHI 22","run","PHI"
"eagles_at_bears_2022_reg_15","Philadelphia Eagles",1,":48","yes",3,8,"-CHI 22","run","PHI"
"eagles_at_bears_2022_reg_15","Chicago Bears",1,":38","yes",1,10,"-CHI 26","pass","CHI"
