"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"14:55","yes",1,10,"-ARZ 17","run","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"14:23","yes",2,6,"-ARZ 21","pass","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"13:50","yes",1,10,"-ARZ 27","run","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"13:16","yes",2,12,"-ARZ 25","pass","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"12:33","yes",3,9,"-ARZ 28","pass","ARI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"12:15","yes",1,10,"-PHI 36","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"12:09","yes",2,10,"-PHI 36","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"11:05","yes",2,8,"-ARZ 48","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"10:26","yes",1,10,"-ARZ 38","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"10:07","yes",1,10,"-ARZ 23","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"9:44","yes",1,10,"-ARZ 12","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"9:40","yes",2,10,"-ARZ 12","run","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"9:00","yes",3,7,"-ARZ 9","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"8:40","no",4,1,"-ARZ 3","run","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"8:06","no",1,1,"-ARZ 1","run","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"7:56","yes",1,10,"-PHI 35","run","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"7:12","yes",2,5,"-PHI 40","run","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"6:49","yes",3,1,"-PHI 44","run","PHI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"6:05","yes",1,10,"-ARZ 12","run","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"5:40","yes",2,5,"-ARZ 17","pass","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"5:20","yes",1,10,"-ARZ 26","pass","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"4:51","yes",1,10,"-ARZ 36","pass","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"4:48","yes",2,10,"-ARZ 36","run","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"4:19","yes",3,6,"-ARZ 40","pass","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"3:55","yes",1,10,"-ARZ 48","run","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"3:19","yes",2,5,"-PHI 47","run","ARI"
"eagles_at_cardinals_2022_reg_5","Arizona Cardinals",1,"2:46","yes",3,10,"-ARZ 48","pass","ARI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"2:31","yes",1,10,"-PHI 13","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"2:25","yes",2,10,"-PHI 13","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"1:39","yes",3,12,"-PHI 11","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,"1:06","yes",1,10,"-PHI 33","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",1,":28","yes",2,2,"-PHI 41","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",2,"15:00","yes",1,10,"-ARZ 39","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",2,"14:26","yes",2,3,"-ARZ 32","run","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",2,"13:44","yes",3,3,"-ARZ 32","run","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",2,"13:03","no",1,10,"-ARZ 28","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",2,"12:55","yes",2,10,"-ARZ 28","run","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",2,"12:27","yes",1,10,"-ARZ 11","run","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",2,"12:15","yes",1,10,"-ARZ 11","pass","PHI"
"eagles_at_cardinals_2022_reg_5","Philadelphia Eagles",2,"11:48","yes",2,3,"-ARZ 4","run","PHI"
