"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"15:00","no",1,10,"-IND 25","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"14:22","no",2,7,"-IND 28","pass","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"13:44","yes",3,6,"-IND 29","pass","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"13:19","yes",1,10,"-PHI 47","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"12:47","yes",1,10,"-PHI 19","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"12:10","no",2,1,"-PHI 10","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"11:27","no",3,1,"-PHI 10","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"10:52","no",1,9,"-PHI 9","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"10:16","no",2,3,"-PHI 3","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"9:40","no",3,1,"-PHI 1","run","IND"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"9:37","yes",1,10,"-PHI 25","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"9:01","yes",1,10,"-PHI 39","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"8:18","yes",2,5,"-PHI 44","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"7:37","no",3,2,"-PHI 47","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"7:06","yes",3,12,"-PHI 37","pass","PHI"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"6:48","yes",1,10,"-IND 28","pass","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"6:10","yes",2,14,"-IND 24","pass","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,"5:33","yes",3,1,"-IND 37","pass","IND"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"5:22","no",1,10,"-PHI 16","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"4:56","yes",1,10,"-PHI 45","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"4:28","yes",2,1,"-IND 46","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"3:58","yes",1,10,"-IND 34","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"3:31","yes",1,16,"-IND 40","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"2:59","yes",1,25,"-IND 49","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"2:24","yes",1,35,"-PHI 41","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",1,"1:40","yes",2,28,"-PHI 48","pass","PHI"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",1,":10","no",1,10,"-IND 10","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"15:00","yes",2,10,"-IND 10","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"14:23","no",1,10,"-IND 21","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"13:45","yes",2,7,"-IND 24","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"13:16","yes",2,17,"-IND 14","pass","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"12:44","yes",3,11,"-IND 20","pass","IND"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"11:58","yes",1,10,"-PHI 42","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"11:25","yes",2,7,"-PHI 45","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"11:01","no",3,1,"-IND 49","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"10:19","yes",1,10,"-IND 47","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"10:12","yes",2,10,"-IND 47","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"9:31","yes",3,5,"-IND 42","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"8:51","yes",1,10,"-IND 35","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"8:26","yes",1,10,"-IND 25","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"7:48","yes",2,8,"-IND 23","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"7:42","yes",3,8,"-IND 23","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"7:04","yes",1,10,"-IND 14","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"6:22","no",1,2,"-IND 2","pass","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"6:16","yes",2,2,"-IND 2","run","PHI"
"eagles_at_colts_2022_reg_11","Philadelphia Eagles",2,"5:33","yes",3,10,"-IND 10","run","PHI"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"4:50","no",1,10,"-IND 25","pass","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"4:45","yes",2,10,"-IND 25","pass","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"4:18","no",1,10,"-IND 39","run","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"3:44","yes",2,9,"-IND 40","pass","IND"
"eagles_at_colts_2022_reg_11","Indianapolis Colts",2,"3:23","yes",2,14,"-IND 35","pass","IND"
