"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"eagles_at_commanders_2022_reg_3","Washington Commanders",1,"15:00","no",1,10,"-WAS 25","run","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",1,"14:34","yes",1,10,"-WAS 40","pass","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",1,"14:31","yes",2,10,"-WAS 40","pass","WAS"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"13:08","yes",1,10,"-PHI 12","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"12:33","yes",2,10,"-PHI 12","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"12:28","yes",1,10,"-PHI 35","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"11:52","no",2,3,"-PHI 42","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"11:24","yes",1,10,"-PHI 46","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"11:21","yes",2,10,"-PHI 46","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"10:56","yes",3,5,"-WAS 49","pass","PHI"
"eagles_at_commanders_2022_reg_3","Washington Commanders",1,"9:05","yes",3,26,"-WAS 4","run","WAS"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"7:33","yes",2,13,"-PHI 41","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"7:27","yes",3,13,"-PHI 41","pass","PHI"
"eagles_at_commanders_2022_reg_3","Washington Commanders",1,"7:15","yes",1,10,"-WAS 16","run","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",1,"6:39","yes",2,5,"-WAS 21","run","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",1,"5:58","no",1,10,"-WAS 26","pass","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",1,"5:19","yes",1,10,"-WAS 42","run","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",1,"4:34","no",2,7,"-WAS 45","run","WAS"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"3:00","no",1,10,"-PHI 22","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"2:27","yes",2,5,"-PHI 27","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"1:45","yes",3,6,"-PHI 26","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"1:20","yes",1,10,"-PHI 39","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,"1:01","yes",1,10,"-WAS 16","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",1,":26","yes",2,8,"-WAS 14","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"15:00","yes",3,8,"-WAS 14","pass","PHI"
"eagles_at_commanders_2022_reg_3","Washington Commanders",2,"14:53","yes",1,10,"-WAS 25","run","WAS"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"14:03","yes",1,10,"-WAS 24","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"13:26","yes",2,9,"-WAS 23","pass","PHI"
"eagles_at_commanders_2022_reg_3","Washington Commanders",2,"13:18","yes",1,10,"-WAS 25","run","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",2,"12:45","yes",2,3,"-WAS 32","run","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",2,"12:02","yes",3,1,"-WAS 34","run","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",2,"11:18","no",1,10,"-WAS 40","pass","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",2,"11:15","yes",2,10,"-WAS 40","run","WAS"
"eagles_at_commanders_2022_reg_3","Washington Commanders",2,"10:52","yes",3,10,"-WAS 40","pass","WAS"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"10:35","no",1,10,"-PHI 6","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"10:11","yes",1,10,"-PHI 19","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"9:38","yes",1,10,"-WAS 43","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"9:15","yes",1,10,"-WAS 30","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"8:46","yes",1,10,"-WAS 17","pass","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"8:15","yes",2,9,"-WAS 16","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"7:37","yes",3,5,"-WAS 12","run","PHI"
"eagles_at_commanders_2022_reg_3","Philadelphia Eagles",2,"7:11","no",4,1,"-WAS 8","run","PHI"
"eagles_at_commanders_2022_reg_3","Washington Commanders",2,"7:08","no",1,10,"-WAS 9","run","WAS"
