"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"eagles_at_cowboys_2022_reg_16","Philadelphia Eagles",1,"15:00","yes",1,10,"-PHI 25","run","PHI"
"eagles_at_cowboys_2022_reg_16","Philadelphia Eagles",1,"14:24","yes",2,3,"-PHI 32","pass","PHI"
"eagles_at_cowboys_2022_reg_16","Philadelphia Eagles",1,"13:58","yes",1,10,"-PHI 41","pass","PHI"
"eagles_at_cowboys_2022_reg_16","Philadelphia Eagles",1,"13:18","yes",1,10,"-DAL 11","run","PHI"
"eagles_at_cowboys_2022_reg_16","Philadelphia Eagles",1,"12:38","yes",2,9,"-DAL 10","run","PHI"
"eagles_at_cowboys_2022_reg_16","Philadelphia Eagles",1,"11:56","yes",3,9,"-DAL 10","run","PHI"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"11:16","yes",1,10,"-DAL 25","run","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"10:48","no",2,9,"-DAL 26","run","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"10:25","yes",3,5,"-DAL 30","pass","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"9:58","yes",1,10,"-DAL 36","pass","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"9:28","no",1,10,"-DAL 47","pass","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"9:18","no",1,10,"-DAL 25","run","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"8:45","yes",2,10,"-DAL 25","pass","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"8:18","yes",3,5,"-DAL 30","run","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"7:45","yes",1,10,"-DAL 43","run","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"7:11","yes",2,11,"-DAL 42","pass","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"6:38","yes",3,5,"-DAL 48","pass","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"5:40","yes",2,1,"-PHI 35","run","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"5:06","yes",1,10,"-PHI 32","run","DAL"
"eagles_at_cowboys_2022_reg_16","Dallas Cowboys",1,"4:30","yes",2,9,"-PHI 31","run","DAL"
