"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"eagles_at_giants_2022_reg_14","New York Giants",1,"14:55","no",1,10,"-NYG 24","run","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",1,"14:21","yes",2,6,"-NYG 28","pass","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",1,"13:10","yes",2,17,"-NYG 35","pass","NYG"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"12:19","yes",1,10,"-PHI 16","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"11:42","yes",1,10,"-PHI 29","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"11:02","yes",2,6,"-PHI 33","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"10:22","yes",1,10,"-PHI 44","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"9:40","yes",2,1,"-NYG 47","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"8:57","yes",1,10,"-NYG 42","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"8:51","yes",2,10,"-NYG 42","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"8:08","yes",3,6,"-NYG 38","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"7:40","yes",1,10,"-NYG 31","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"7:05","yes",2,7,"-NYG 28","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"6:19","yes",3,6,"-NYG 27","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"5:53","yes",1,10,"-NYG 23","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"5:25","yes",1,10,"-NYG 12","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"4:42","yes",2,10,"-NYG 12","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"4:20","yes",3,1,"-NYG 3","run","PHI"
"eagles_at_giants_2022_reg_14","New York Giants",1,"4:09","no",1,10,"-NYG 21","run","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",1,"3:39","no",1,10,"-NYG 34","run","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",1,"3:04","no",2,6,"-NYG 38","pass","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",1,"2:21","yes",3,7,"-NYG 37","pass","NYG"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"2:00","yes",1,10,"-PHI 9","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"1:52","yes",2,10,"-PHI 9","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,"1:10","yes",3,4,"-PHI 15","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,":46","yes",1,10,"-PHI 24","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",1,":38","yes",1,10,"-PHI 29","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"15:00","yes",2,6,"-PHI 33","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"14:57","yes",3,6,"-PHI 33","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"14:19","yes",1,10,"-PHI 41","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"14:13","yes",2,10,"-PHI 41","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"13:36","yes",1,10,"-NYG 44","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"13:30","yes",2,10,"-NYG 44","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"13:01","yes",3,10,"-NYG 44","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"12:14","yes",4,7,"-NYG 41","pass","PHI"
"eagles_at_giants_2022_reg_14","New York Giants",2,"12:05","yes",1,10,"-NYG 25","run","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"11:30","yes",2,8,"-NYG 27","pass","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"11:00","yes",3,4,"-NYG 31","pass","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"10:30","yes",1,10,"-NYG 40","run","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"9:55","no",2,5,"-NYG 45","run","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"9:16","yes",3,6,"-NYG 44","pass","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"8:32","no",4,7,"-NYG 43","run","NYG"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"8:24","yes",1,10,"-NYG 33","pass","PHI"
"eagles_at_giants_2022_reg_14","New York Giants",2,"8:11","yes",1,10,"-NYG 20","pass","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"7:41","yes",1,10,"-NYG 36","run","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"7:09","no",2,5,"-NYG 41","run","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"5:53","no",2,6,"-PHI 46","run","NYG"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"5:05","yes",1,10,"-PHI 8","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"4:59","yes",2,10,"-PHI 8","run","PHI"
"eagles_at_giants_2022_reg_14","New York Giants",2,"4:15","no",1,10,"-PHI 15","pass","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"3:40","no",1,4,"-PHI 4","run","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"3:03","no",2,2,"-PHI 2","pass","NYG"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"2:47","yes",1,10,"-NYG 35","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"1:15","yes",1,10,"-NYG 12","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"1:02","yes",3,9,"-NYG 11","pass","PHI"
"eagles_at_giants_2022_reg_14","New York Giants",2,":54","yes",1,10,"-NYG 25","pass","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,":51","yes",2,10,"-NYG 25","pass","NYG"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,":14","yes",1,10,"-PHI 32","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"14:54","yes",1,10,"-PHI 16","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"14:16","yes",1,10,"-PHI 38","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"13:36","yes",1,10,"-NYG 49","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"12:57","yes",2,5,"-NYG 44","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"12:13","yes",1,10,"-NYG 20","run","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"11:35","yes",2,11,"-NYG 21","pass","PHI"
"eagles_at_giants_2022_reg_14","Philadelphia Eagles",2,"11:31","yes",3,11,"-NYG 21","pass","PHI"
"eagles_at_giants_2022_reg_14","New York Giants",2,"11:21","no",1,10,"-NYG 25","pass","NYG"
"eagles_at_giants_2022_reg_14","New York Giants",2,"10:50","yes",2,4,"-NYG 31","run","NYG"
