"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"eagles_at_lions_2022_reg_1","Detroit Lions",1,"15:00","no",1,10,"-DET 25","pass","DET"
"eagles_at_lions_2022_reg_1","Detroit Lions",1,"14:27","no",2,11,"-DET 24","run","DET"
"eagles_at_lions_2022_reg_1","Detroit Lions",1,"13:38","no",1,10,"-PHI 26","run","DET"
"eagles_at_lions_2022_reg_1","Detroit Lions",1,"13:02","no",2,3,"-PHI 19","run","DET"
"eagles_at_lions_2022_reg_1","Detroit Lions",1,"12:22","yes",1,10,"-PHI 15","pass","DET"
"eagles_at_lions_2022_reg_1","Detroit Lions",1,"12:19","yes",2,20,"-PHI 25","run","DET"
"eagles_at_lions_2022_reg_1","Detroit Lions",1,"11:40","yes",3,9,"-PHI 14","pass","DET"
"eagles_at_lions_2022_reg_1","Detroit Lions",1,"11:01","no",1,5,"-PHI 5","run","DET"
"eagles_at_lions_2022_reg_1","Detroit Lions",1,"10:23","no",2,1,"-PHI 1","run","DET"
"eagles_at_lions_2022_reg_1","Philadelphia Eagles",1,"10:18","yes",1,10,"-PHI 25","run","PHI"
"eagles_at_lions_2022_reg_1","Philadelphia Eagles",1,"9:35","yes",2,2,"-PHI 33","run","PHI"
"eagles_at_lions_2022_reg_1","Philadelphia Eagles",1,"8:47","yes",1,10,"-PHI 44","pass","PHI"
"eagles_at_lions_2022_reg_1","Philadelphia Eagles",1,"8:44","yes",2,10,"-PHI 44","pass","PHI"
"eagles_at_lions_2022_reg_1","Philadelphia Eagles",1,"8:42","yes",3,15,"-PHI 39","run","PHI"
"eagles_at_lions_2022_reg_1","Philadelphia Eagles",1,"7:57","yes",1,10,"-DET 45","run","PHI"
"eagles_at_lions_2022_reg_1","Philadelphia Eagles",1,"7:23","yes",2,5,"-DET 40","pass","PHI"
"eagles_at_lions_2022_reg_1","Philadelphia Eagles",1,"7:17","yes",3,5,"-DET 40","pass","PHI"
