"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"15:00","yes",1,10,"-HST 25","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"14:28","no",1,10,"-HST 36","pass","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"13:52","yes",2,2,"-HST 44","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"13:12","no",1,10,"-HST 49","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"12:36","no",2,7,"-PHI 48","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"11:56","yes",3,5,"-PHI 46","pass","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"11:12","no",1,10,"-PHI 40","pass","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"10:24","no",1,6,"-PHI 6","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"9:42","no",2,2,"-PHI 2","pass","HOU"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"9:33","yes",1,10,"-PHI 9","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"9:27","yes",2,10,"-PHI 9","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"9:23","yes",1,10,"-PHI 17","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"8:54","yes",2,6,"-PHI 21","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"8:51","yes",3,6,"-PHI 21","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"8:23","yes",1,10,"-PHI 44","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"7:49","yes",2,8,"-PHI 46","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"7:10","yes",3,8,"-PHI 46","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"6:49","yes",1,10,"-HST 45","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"6:23","yes",2,2,"-HST 37","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"5:39","yes",1,10,"-HST 35","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"5:32","yes",2,10,"-HST 35","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"4:54","yes",1,10,"-HST 22","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"4:49","yes",2,10,"-HST 22","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"4:05","yes",3,8,"-HST 20","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"3:44","yes",1,4,"-HST 4","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"3:04","yes",2,8,"-HST 8","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"2:17","yes",3,3,"-HST 3","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",1,"1:36","yes",4,2,"-HST 2","run","PHI"
"eagles_at_texans_2022_reg_9","Houston Texans",1,"1:33","no",1,10,"-HST 25","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,":58","yes",2,5,"-HST 30","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",1,":20","no",1,10,"-HST 36","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"15:00","yes",2,11,"-HST 35","pass","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"13:48","yes",3,11,"-HST 35","run","HOU"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"12:59","yes",1,10,"-PHI 20","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"12:35","yes",1,10,"-HST 49","pass","PHI"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"12:09","no",1,10,"-HST 35","pass","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"11:34","yes",1,10,"-HST 49","pass","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"11:30","no",2,10,"-HST 49","run","HOU"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"10:04","no",1,10,"-PHI 21","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"9:28","no",1,10,"-PHI 34","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"8:45","yes",1,10,"-HST 41","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"8:02","yes",2,5,"-HST 36","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"7:36","yes",1,10,"-HST 21","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"7:12","yes",2,2,"-HST 13","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"6:29","no",3,1,"-HST 12","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"5:49","no",1,10,"-HST 10","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"5:22","yes",2,4,"-HST 4","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,"4:37","yes",3,4,"-HST 4","run","PHI"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"4:32","no",1,10,"-HST 25","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"3:53","no",2,4,"-HST 31","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"3:22","yes",3,1,"-HST 34","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"2:38","yes",1,10,"-HST 37","run","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"2:00","yes",1,10,"-PHI 27","pass","HOU"
"eagles_at_texans_2022_reg_9","Houston Texans",2,"1:21","no",2,2,"-PHI 19","run","HOU"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,":37","yes",1,10,"-PHI 25","run","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,":31","yes",2,2,"-PHI 33","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,":24","yes",1,10,"-PHI 36","pass","PHI"
"eagles_at_texans_2022_reg_9","Philadelphia Eagles",2,":19","yes",1,10,"-HST 43","run","PHI"
