"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"14:56","yes",1,10,"-CIN 16","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"14:22","yes",1,10,"-CIN 27","run","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"13:43","yes",2,4,"-CIN 33","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"13:07","yes",1,10,"-CIN 40","pass","CIN"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",1,"13:00","yes",1,10,"-ATL 25","run","ATL"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",1,"12:22","no",2,6,"-ATL 29","run","ATL"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",1,"11:40","yes",1,10,"-ATL 38","run","ATL"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",1,"11:01","yes",2,7,"-ATL 41","pass","ATL"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",1,"10:17","yes",3,5,"-ATL 43","pass","ATL"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"10:04","yes",1,10,"-CIN 29","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"9:59","yes",2,10,"-CIN 29","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"9:30","yes",1,10,"-CIN 40","run","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"8:51","yes",2,5,"-CIN 45","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"8:26","yes",1,10,"-ATL 33","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"8:23","yes",2,10,"-ATL 33","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"7:56","yes",1,10,"-ATL 18","run","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"7:21","yes",2,7,"-ATL 15","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"6:20","yes",1,5,"-ATL 5","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"5:35","no",2,2,"-ATL 2","run","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"4:55","no",3,1,"-ATL 1","run","CIN"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",1,"4:51","no",1,10,"-ATL 25","run","ATL"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",1,"4:10","no",2,8,"-ATL 27","run","ATL"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",1,"3:25","yes",3,3,"-ATL 32","pass","ATL"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"3:15","yes",1,10,"-CIN 25","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"2:51","yes",2,2,"-CIN 33","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"2:02","yes",2,12,"-CIN 23","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,"1:18","yes",3,10,"-CIN 25","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,":49","yes",1,10,"-CIN 36","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",1,":05","yes",1,10,"-ATL 44","pass","CIN"
"falcons_at_bengals_2022_reg_7","Cincinnati Bengals",2,"15:00","yes",1,10,"-ATL 32","pass","CIN"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",2,"14:55","yes",1,10,"-ATL 25","pass","ATL"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",2,"14:14","yes",2,1,"-ATL 34","run","ATL"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",2,"13:37","no",3,1,"-ATL 34","run","ATL"
"falcons_at_bengals_2022_reg_7","Atlanta Falcons",2,"13:00","yes",1,10,"-ATL 36","run","ATL"
