"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"14:56","no",1,10,"-TB 19","pass","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"14:53","no",2,10,"-TB 19","run","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"14:19","yes",1,10,"-TB 33","run","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"13:50","yes",2,8,"-TB 35","pass","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"13:44","yes",3,8,"-TB 35","pass","TB"
"falcons_at_buccaneers_2022_reg_5","Atlanta Falcons",1,"13:28","yes",1,10,"-ATL 20","pass","ATL"
"falcons_at_buccaneers_2022_reg_5","Atlanta Falcons",1,"13:24","yes",2,10,"-ATL 20","run","ATL"
"falcons_at_buccaneers_2022_reg_5","Atlanta Falcons",1,"13:01","no",2,5,"-ATL 25","run","ATL"
"falcons_at_buccaneers_2022_reg_5","Atlanta Falcons",1,"12:18","yes",3,9,"-ATL 21","pass","ATL"
"falcons_at_buccaneers_2022_reg_5","Atlanta Falcons",1,"11:34","no",1,10,"-ATL 32","pass","ATL"
"falcons_at_buccaneers_2022_reg_5","Atlanta Falcons",1,"11:26","yes",2,10,"-ATL 32","pass","ATL"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"10:43","yes",1,10,"-TB 23","run","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"10:12","no",2,4,"-TB 29","run","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"9:28","yes",3,1,"-TB 32","pass","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"8:49","yes",1,10,"-ATL 48","pass","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"8:09","no",1,10,"-ATL 37","run","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"7:35","yes",2,8,"-ATL 35","pass","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"6:58","yes",3,3,"-ATL 30","pass","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"6:16","no",1,10,"-ATL 24","pass","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"5:29","yes",2,3,"-ATL 17","pass","TB"
"falcons_at_buccaneers_2022_reg_5","Tampa Bay Buccaneers",1,"5:25","yes",3,3,"-ATL 17","pass","TB"
