"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"15:00","yes",1,10,"-ATL 25","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"14:26","no",2,7,"-ATL 28","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"13:44","yes",3,2,"-ATL 33","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"12:59","yes",1,10,"-ATL 44","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"12:19","yes",2,2,"-WAS 48","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"11:38","yes",1,10,"-WAS 42","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"10:59","yes",2,6,"-WAS 38","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"10:19","no",1,10,"-WAS 31","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"9:35","yes",2,8,"-WAS 29","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"8:57","yes",3,8,"-WAS 29","pass","ATL"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"8:01","no",1,10,"-WAS 26","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"7:21","yes",1,10,"-ATL 48","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"6:41","yes",2,5,"-ATL 43","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"5:58","yes",3,3,"-ATL 41","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"5:18","no",1,10,"-ATL 24","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"4:35","yes",2,6,"-ATL 20","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"3:53","yes",1,10,"-ATL 14","pass","WAS"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"3:39","yes",1,10,"-ATL 21","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"3:03","yes",1,10,"-ATL 36","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"2:28","yes",2,2,"-ATL 44","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"2:23","yes",3,2,"-ATL 44","pass","ATL"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"2:14","yes",1,10,"-WAS 18","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"1:35","no",2,3,"-WAS 25","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,":57","yes",1,10,"-WAS 28","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,":13","yes",2,6,"-WAS 32","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,":09","yes",3,6,"-WAS 32","pass","WAS"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"14:54","yes",1,10,"-ATL 23","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"14:14","yes",1,10,"-ATL 35","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"13:29","yes",2,9,"-ATL 36","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"12:45","yes",3,2,"-ATL 43","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"12:02","yes",1,10,"-WAS 46","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"11:18","no",2,11,"-WAS 47","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"10:39","yes",1,10,"-WAS 32","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"10:11","yes",1,25,"-WAS 47","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"10:08","no",2,25,"-WAS 47","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"9:30","yes",3,3,"-WAS 25","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"9:03","yes",1,5,"-WAS 5","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"8:32","no",2,4,"-WAS 4","pass","ATL"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"8:19","no",1,10,"-WAS 29","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"7:35","yes",2,6,"-WAS 33","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"6:58","no",1,10,"-WAS 39","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"6:18","no",2,3,"-WAS 46","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"5:36","no",1,10,"-ATL 49","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"5:31","no",2,10,"-ATL 49","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"4:23","no",1,10,"-ATL 35","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"3:47","yes",2,9,"-ATL 34","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"3:02","yes",3,3,"-ATL 28","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"2:25","yes",1,10,"-ATL 14","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"2:18","no",2,10,"-ATL 14","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,"2:00","yes",3,8,"-ATL 12","pass","WAS"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"1:45","yes",1,10,"-ATL 15","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"1:39","yes",1,10,"-ATL 38","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"1:18","yes",2,8,"-ATL 40","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,"1:15","yes",3,8,"-ATL 40","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,":29","yes",4,1,"-ATL 47","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",1,":14","yes",1,10,"-ATL 44","pass","ATL"
"falcons_at_commanders_2022_reg_12","Washington Commanders",1,":07","yes",2,10,"-ATL 44","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"15:00","no",1,10,"-WAS 25","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"14:21","no",2,4,"-WAS 31","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"13:48","no",3,1,"-WAS 34","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"13:12","yes",1,10,"-ATL 45","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"12:27","yes",2,5,"-ATL 40","run","WAS"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"11:46","yes",1,10,"-ATL 5","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"11:04","yes",2,8,"-ATL 7","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"10:28","yes",3,3,"-ATL 12","pass","ATL"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"10:16","no",1,10,"-WAS 40","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"9:33","no",2,5,"-WAS 45","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"8:50","yes",1,10,"-ATL 49","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"8:07","yes",2,3,"-ATL 42","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"7:26","no",3,1,"-ATL 40","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"7:18","yes",4,1,"-ATL 40","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"6:38","no",1,10,"-ATL 37","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"6:00","no",2,5,"-ATL 32","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"5:18","yes",1,10,"-ATL 26","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"4:50","yes",2,1,"-ATL 17","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"4:09","yes",1,10,"-ATL 16","pass","WAS"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"4:03","yes",1,10,"-ATL 25","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"3:28","yes",2,4,"-ATL 31","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"2:48","yes",1,10,"-ATL 45","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"2:44","no",2,10,"-ATL 45","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"2:00","yes",1,10,"-WAS 34","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"1:34","no",2,6,"-WAS 30","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",2,"1:26","yes",3,6,"-WAS 30","pass","ATL"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,"1:17","yes",1,10,"-WAS 25","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",2,":39","no",1,10,"-WAS 37","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"15:00","yes",2,9,"-WAS 38","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"14:20","yes",3,2,"-WAS 45","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"13:34","no",1,10,"-WAS 48","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"12:46","yes",1,10,"-ATL 41","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"11:45","no",2,1,"-ATL 32","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"11:03","no",1,10,"-ATL 29","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"10:57","yes",2,10,"-ATL 29","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"10:15","yes",3,8,"-ATL 27","pass","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"9:52","yes",3,18,"-ATL 37","run","WAS"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"9:05","no",1,10,"-ATL 25","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"7:49","yes",3,21,"-ATL 14","pass","ATL"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"7:08","no",1,10,"-WAS 40","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"6:34","yes",2,12,"-WAS 38","run","WAS"
"falcons_at_commanders_2022_reg_12","Washington Commanders",3,"5:52","yes",3,11,"-WAS 39","pass","WAS"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"5:03","no",1,10,"-ATL 16","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"4:25","yes",2,1,"-ATL 25","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"3:44","yes",1,10,"-ATL 30","pass","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"3:15","no",1,10,"-WAS 25","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"2:37","yes",2,10,"-WAS 25","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"2:00","yes",3,4,"-WAS 19","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"1:25","yes",1,10,"-WAS 14","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"1:21","yes",2,4,"-WAS 8","run","ATL"
"falcons_at_commanders_2022_reg_12","Atlanta Falcons",3,"1:15","no",3,1,"-WAS 5","run","ATL"
