"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"14:56","yes",1,10,"-ATL 17","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"14:14","yes",2,7,"-ATL 20","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"14:09","yes",3,7,"-ATL 20","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"13:29","yes",1,10,"-ATL 30","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"12:46","no",2,11,"-ATL 29","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"12:04","yes",3,9,"-ATL 31","pass","ATL"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"11:21","no",1,10,"-CAR 31","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"10:46","no",2,6,"-CAR 35","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"10:05","yes",3,1,"-CAR 40","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"9:43","no",1,10,"-CAR 41","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"9:06","no",2,11,"-CAR 40","pass","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"8:30","yes",1,10,"-ATL 40","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"7:48","yes",1,10,"-ATL 28","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"7:12","no",2,10,"-ATL 28","pass","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"7:07","yes",3,10,"-ATL 28","pass","CAR"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"6:53","yes",1,10,"-ATL 34","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"6:28","yes",2,7,"-ATL 37","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"5:53","yes",3,9,"-ATL 35","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"5:20","no",1,10,"-CAR 46","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"5:16","yes",2,10,"-CAR 46","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"4:41","yes",1,10,"-CAR 34","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"3:58","yes",2,10,"-CAR 34","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"3:14","yes",3,9,"-CAR 33","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",1,"2:55","yes",3,18,"-CAR 42","pass","ATL"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"2:39","no",1,10,"-CAR 9","pass","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"2:04","no",2,11,"-CAR 8","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,"1:20","yes",1,10,"-CAR 22","pass","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",1,":44","yes",2,2,"-CAR 30","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"15:00","no",3,1,"-CAR 31","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"14:33","no",1,10,"-CAR 34","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"13:56","no",2,6,"-CAR 38","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"13:22","no",1,10,"-CAR 48","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"12:06","yes",3,4,"-ATL 46","pass","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"11:33","yes",1,10,"-ATL 37","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"11:01","no",2,5,"-ATL 32","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"10:22","no",1,10,"-ATL 26","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"9:34","no",2,17,"-ATL 33","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"8:08","no",4,19,"-ATL 35","run","CAR"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",2,"7:43","no",1,10,"-ATL 3","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",2,"7:04","yes",2,7,"-ATL 6","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",2,"6:16","yes",3,4,"-ATL 9","run","ATL"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"5:26","no",1,10,"-ATL 43","pass","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"4:43","yes",2,8,"-ATL 41","run","CAR"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",2,"4:34","yes",1,10,"-ATL 25","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",2,"4:25","no",2,10,"-ATL 25","pass","ATL"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"4:11","no",1,10,"-ATL 45","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"3:34","no",2,5,"-ATL 40","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"2:55","yes",3,1,"-ATL 36","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"2:22","no",1,10,"-ATL 32","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"2:00","no",2,6,"-ATL 28","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,"1:55","yes",3,7,"-ATL 29","run","CAR"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",2,"1:47","yes",1,10,"-ATL 25","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",2,"1:41","yes",1,10,"-CAR 46","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",2,"1:15","yes",2,4,"-CAR 40","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",2,":50","yes",1,10,"-CAR 34","run","ATL"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,":26","yes",1,10,"-CAR 22","pass","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,":21","yes",2,5,"-CAR 17","pass","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",2,":04","no",3,3,"-CAR 15","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",3,"15:00","no",1,10,"-CAR 25","pass","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",3,"14:55","no",2,22,"-CAR 13","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",3,"14:23","yes",3,16,"-CAR 19","pass","CAR"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",3,"14:13","yes",1,10,"-ATL 29","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",3,"13:35","yes",2,7,"-ATL 32","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",3,"13:05","yes",1,10,"-CAR 37","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",3,"12:21","yes",2,1,"-CAR 28","run","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",3,"12:02","yes",2,14,"-CAR 41","pass","ATL"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",3,"10:46","no",1,11,"-CAR 1","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",3,"10:32","no",2,10,"-CAR 2","run","CAR"
"falcons_at_panthers_2022_reg_10","Carolina Panthers",3,"9:57","no",3,9,"-CAR 3","run","CAR"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",3,"9:01","yes",1,10,"-CAR 42","pass","ATL"
"falcons_at_panthers_2022_reg_10","Atlanta Falcons",3,"8:57","yes",2,10,"-CAR 42","pass","ATL"
