"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"15:00","yes",1,10,"-ATL 25","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"14:22","yes",1,10,"-ATL 35","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"13:45","yes",2,5,"-ATL 40","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"13:02","no",3,1,"-ATL 44","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"12:20","yes",1,10,"-LA 43","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"12:14","yes",2,10,"-LA 43","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"11:32","yes",3,8,"-LA 41","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"10:43","yes",1,10,"-LA 31","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"10:03","yes",2,7,"-LA 28","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"9:21","yes",1,10,"-LA 18","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"8:39","no",2,8,"-LA 16","pass","ATL"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",1,"6:54","no",1,10,"-LA 34","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",1,"6:04","no",1,10,"-ATL 44","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",1,"5:28","no",2,2,"-ATL 36","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",1,"4:48","yes",1,10,"-ATL 33","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",1,"4:04","no",2,4,"-ATL 27","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",1,"3:17","no",1,9,"-ATL 9","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",1,"2:33","yes",2,6,"-ATL 6","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",1,"1:48","no",3,1,"-ATL 1","pass","LAR"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,"1:44","yes",1,10,"-ATL 25","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,":49","yes",1,10,"-ATL 42","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",1,":14","yes",2,4,"-ATL 48","run","ATL"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"13:33","no",2,3,"-ATL 43","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"12:48","yes",1,10,"-ATL 33","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"12:17","no",2,4,"-ATL 27","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"10:58","yes",2,10,"-ATL 19","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"10:13","yes",3,2,"-ATL 11","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"9:34","no",1,8,"-ATL 8","run","LAR"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"9:30","yes",1,10,"-ATL 25","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"8:48","yes",2,7,"-ATL 28","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"8:08","yes",1,10,"-LA 33","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"7:34","yes",1,10,"-LA 22","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"6:50","yes",2,4,"-LA 16","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"6:10","no",3,1,"-LA 13","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"5:30","no",4,1,"-LA 13","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"4:47","yes",1,8,"-LA 8","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"4:01","yes",2,5,"-LA 5","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"3:37","yes",2,15,"-LA 15","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,"2:54","yes",3,8,"-LA 8","pass","ATL"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"2:44","yes",1,10,"-LA 25","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"2:00","yes",2,7,"-LA 28","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"1:34","yes",1,10,"-LA 37","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"1:28","yes",1,10,"-ATL 43","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"1:05","yes",1,10,"-ATL 26","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,"1:00","yes",2,7,"-ATL 23","pass","LAR"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,":54","yes",1,10,"-ATL 20","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,":47","yes",1,10,"-LA 44","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,":44","yes",2,10,"-LA 44","pass","ATL"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,":28","yes",1,9,"-ATL 9","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",2,":23","yes",2,3,"-ATL 3","pass","LAR"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,":14","yes",1,10,"-ATL 25","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,":05","yes",1,10,"-ATL 44","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",2,":02","yes",2,10,"-ATL 44","run","ATL"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"15:00","no",1,10,"-LA 25","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"14:19","no",1,10,"-LA 40","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"13:41","yes",2,9,"-LA 41","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"12:55","no",1,10,"-ATL 40","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"12:13","no",2,2,"-ATL 32","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"11:28","no",3,1,"-ATL 31","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"10:44","yes",1,10,"-ATL 28","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"10:06","no",1,10,"-ATL 16","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"9:34","yes",2,4,"-ATL 10","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"9:28","yes",3,4,"-ATL 10","pass","LAR"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",3,"9:22","no",1,10,"-ATL 25","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",3,"8:01","yes",3,16,"-ATL 19","pass","ATL"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"7:14","no",1,10,"-LA 30","run","LAR"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",3,"6:23","yes",1,10,"-LA 20","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",3,"5:55","yes",1,15,"-LA 25","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",3,"5:19","yes",2,7,"-LA 17","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",3,"4:39","yes",3,4,"-LA 14","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",3,"4:03","yes",1,9,"-LA 9","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",3,"3:24","yes",2,4,"-LA 4","pass","ATL"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"3:16","no",1,10,"-LA 21","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"3:10","yes",2,10,"-LA 21","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"3:04","yes",3,10,"-LA 21","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,"1:16","yes",2,7,"-ATL 47","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",3,":35","no",1,10,"-ATL 40","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"15:00","no",2,6,"-ATL 36","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"14:17","yes",1,10,"-ATL 23","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"13:53","yes",2,6,"-ATL 19","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"13:07","no",1,7,"-ATL 7","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"12:24","no",2,1,"-ATL 1","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"12:21","yes",3,1,"-ATL 1","pass","LAR"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"12:06","yes",1,10,"-ATL 28","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"11:37","no",2,1,"-ATL 37","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"11:03","yes",1,10,"-ATL 39","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"10:26","yes",2,4,"-ATL 45","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"9:46","yes",1,10,"-LA 33","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"9:37","yes",2,10,"-LA 33","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"9:00","yes",1,10,"-LA 15","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"8:21","yes",2,6,"-LA 11","pass","ATL"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"8:14","no",1,10,"-LA 25","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"7:29","yes",2,11,"-LA 24","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"6:44","yes",3,4,"-LA 31","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"6:00","no",1,10,"-LA 39","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"5:16","no",2,5,"-LA 44","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"5:11","yes",3,8,"-LA 41","pass","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"4:57","no",1,10,"-LA 25","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"4:12","no",2,6,"-LA 29","run","LAR"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"3:22","yes",1,10,"-LA 37","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"2:44","yes",2,3,"-LA 30","pass","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"2:38","yes",1,10,"-LA 21","run","ATL"
"falcons_at_rams_2022_reg_2","Atlanta Falcons",4,"2:00","yes",2,9,"-LA 20","run","ATL"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"1:07","no",1,10,"-LA 23","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,"1:03","no",2,5,"-LA 28","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,":58","yes",3,8,"-LA 25","run","LAR"
"falcons_at_rams_2022_reg_2","Los Angeles Rams",4,":13","no",4,7,"-LA 26","run","LAR"
