"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"14:54","yes",1,10,"-BLT 28","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"14:19","yes",1,10,"-BLT 39","pass","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"14:16","yes",2,10,"-BLT 39","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"13:41","yes",3,6,"-BLT 43","pass","BAL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,"13:02","yes",1,10,"-ATL 12","pass","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,"12:24","no",2,2,"-ATL 20","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,"11:43","no",3,2,"-ATL 20","run","ATL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"10:11","yes",1,10,"-ATL 10","pass","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"9:32","yes",2,13,"-ATL 13","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"8:54","yes",3,10,"-ATL 10","run","BAL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,"7:21","yes",2,10,"-ATL 30","pass","ATL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"6:32","yes",1,10,"-BLT 43","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"5:56","yes",2,4,"-BLT 49","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"5:19","yes",1,10,"-ATL 40","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"4:40","yes",2,11,"-ATL 41","pass","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,"4:36","yes",3,11,"-ATL 41","pass","BAL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,"3:43","yes",1,10,"-ATL 40","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,"3:08","yes",2,7,"-ATL 43","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,"2:25","no",1,10,"-BLT 49","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,"1:42","no",2,10,"-BLT 49","pass","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,"1:37","yes",3,10,"-BLT 49","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",1,":49","yes",4,5,"-BLT 44","pass","ATL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",1,":45","yes",1,10,"-BLT 44","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"15:00","yes",2,5,"-BLT 49","pass","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"14:54","yes",3,5,"-BLT 49","pass","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"14:16","yes",1,10,"-ATL 15","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"13:33","yes",2,10,"-ATL 15","pass","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"12:49","yes",3,4,"-ATL 9","pass","BAL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"12:38","yes",1,10,"-ATL 33","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"11:57","no",2,7,"-ATL 36","pass","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"11:21","yes",1,10,"-ATL 46","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"10:45","no",2,7,"-ATL 49","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"10:02","yes",3,7,"-ATL 49","pass","ATL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"9:09","yes",1,10,"-BLT 30","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"8:36","yes",1,10,"-BLT 41","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"7:55","yes",2,5,"-BLT 46","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"7:19","yes",1,10,"-ATL 46","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"6:47","yes",1,10,"-ATL 32","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"6:01","yes",2,5,"-ATL 27","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"5:17","yes",3,3,"-ATL 25","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"4:41","yes",1,10,"-ATL 19","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"3:58","yes",2,5,"-ATL 14","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"3:18","yes",3,3,"-ATL 12","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"2:37","yes",1,8,"-ATL 8","run","BAL"
"falcons_at_ravens_2022_reg_16","Baltimore Ravens",2,"2:33","yes",2,6,"-ATL 6","pass","BAL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"2:19","no",1,10,"-ATL 32","pass","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"2:00","no",1,10,"-ATL 46","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"1:53","no",1,20,"-ATL 36","pass","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"1:26","no",2,11,"-ATL 45","pass","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"1:16","yes",1,10,"-BLT 29","pass","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,"1:12","yes",2,10,"-BLT 29","run","ATL"
"falcons_at_ravens_2022_reg_16","Atlanta Falcons",2,":52","yes",1,10,"-BLT 13","run","ATL"
