"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"15:00","no",1,10,"-NO 25","pass","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"14:54","yes",2,10,"-NO 25","run","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"14:18","yes",3,9,"-NO 26","pass","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"13:36","no",1,10,"-NO 40","run","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"13:01","yes",2,9,"-NO 41","pass","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"12:18","yes",1,10,"-ATL 43","run","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"11:38","yes",2,5,"-ATL 38","pass","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"10:59","no",1,10,"-ATL 20","run","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"10:16","yes",2,9,"-ATL 19","pass","NO"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,"10:06","yes",1,10,"-ATL 25","pass","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,"10:02","yes",2,10,"-ATL 25","run","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,"9:25","yes",3,8,"-ATL 27","pass","ATL"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"9:07","no",1,10,"-NO 27","run","NO"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,"8:17","yes",1,10,"-ATL 25","run","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,"7:41","no",2,2,"-ATL 33","pass","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,"7:35","no",1,10,"-NO 48","run","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,"6:53","yes",3,11,"-NO 49","pass","ATL"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"6:42","no",1,10,"-NO 9","run","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"6:03","yes",2,8,"-NO 11","run","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"5:17","yes",3,2,"-NO 17","pass","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"4:34","yes",1,10,"-NO 20","run","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,"3:54","no",2,1,"-NO 29","run","NO"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,"2:06","yes",1,10,"-ATL 38","run","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,"1:25","yes",2,12,"-ATL 36","pass","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",1,":50","yes",3,6,"-ATL 42","pass","ATL"
"falcons_at_saints_2022_reg_15","New Orleans Saints",1,":13","no",1,10,"-NO 46","run","NO"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",2,"15:00","yes",2,3,"-NO 39","run","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",2,"14:19","yes",3,3,"-NO 39","pass","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",2,"13:32","no",1,10,"-NO 27","run","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",2,"13:10","yes",2,6,"-NO 23","pass","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",2,"12:47","yes",1,10,"-NO 14","run","ATL"
"falcons_at_saints_2022_reg_15","Atlanta Falcons",2,"12:06","yes",2,3,"-NO 7","pass","ATL"
"falcons_at_saints_2022_reg_15","New Orleans Saints",2,"11:15","no",1,10,"-NO 25","pass","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",2,"10:40","no",1,10,"-NO 46","run","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",2,"10:04","no",1,10,"-ATL 41","run","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",2,"9:25","yes",2,5,"-ATL 36","pass","NO"
"falcons_at_saints_2022_reg_15","New Orleans Saints",2,"8:42","no",1,10,"-ATL 24","run","NO"
