"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"15:00","no",1,10,"-SEA 25","run","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"14:30","yes",1,10,"-SEA 35","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"13:56","no",2,5,"-SEA 40","run","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"13:24","no",1,10,"-ATL 49","run","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"12:46","yes",1,10,"-ATL 35","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"12:13","no",2,7,"-ATL 32","run","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"11:33","yes",3,9,"-ATL 34","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"11:28","yes",1,10,"-ATL 21","run","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"11:08","no",2,3,"-ATL 14","run","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"10:27","yes",3,3,"-ATL 14","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"10:19","no",1,10,"-ATL 25","pass","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"10:13","yes",2,10,"-ATL 25","run","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"9:30","yes",3,4,"-ATL 31","pass","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"8:49","no",1,10,"-ATL 45","run","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"8:23","yes",1,10,"-SEA 46","pass","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"7:40","yes",1,10,"-SEA 24","pass","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"7:20","yes",1,3,"-SEA 3","pass","ATL"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"7:03","yes",1,10,"-SEA 26","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"6:32","yes",1,10,"-SEA 40","run","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"6:00","no",2,5,"-SEA 45","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"5:30","no",3,1,"-SEA 49","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"4:53","no",1,10,"-ATL 15","run","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,"4:16","yes",2,13,"-ATL 18","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"4:12","no",1,10,"-ATL 25","run","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"3:31","yes",2,4,"-ATL 31","run","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"2:50","no",1,10,"-ATL 38","pass","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"2:02","yes",1,10,"-SEA 39","pass","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"1:55","yes",2,10,"-SEA 39","pass","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,"1:09","yes",1,10,"-SEA 11","run","ATL"
"falcons_at_seahawks_2022_reg_3","Atlanta Falcons",1,":31","yes",2,6,"-SEA 7","pass","ATL"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",1,":19","yes",3,22,"-SEA 23","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",2,"15:00","yes",1,10,"-SEA 33","pass","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",2,"14:38","no",2,2,"-SEA 41","run","SEA"
"falcons_at_seahawks_2022_reg_3","Seattle Seahawks",2,"13:54","yes",3,5,"-SEA 38","pass","SEA"
