"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"15:00","yes",1,10,"-WAS 25","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"14:30","yes",2,3,"-WAS 32","pass","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"13:21","yes",2,11,"-WAS 49","pass","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"12:54","yes",1,10,"-NYG 46","pass","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"12:49","yes",2,10,"-NYG 46","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"12:08","yes",3,5,"-NYG 41","pass","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"11:27","yes",4,1,"-NYG 37","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"10:46","no",1,10,"-NYG 32","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"10:09","yes",2,13,"-NYG 35","pass","WAS"
"giants_at_commanders_2022_reg_15","New York Giants",1,"8:33","no",1,10,"-NYG 30","run","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",1,"7:58","yes",2,7,"-NYG 33","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",1,"7:54","yes",3,7,"-NYG 33","pass","NYG"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"7:43","no",1,5,"-WAS 35","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"6:17","yes",2,8,"-NYG 48","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"5:43","no",1,10,"-NYG 39","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"5:01","no",2,6,"-NYG 35","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"4:19","yes",1,10,"-NYG 25","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"3:37","yes",2,12,"-NYG 27","pass","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",1,"3:33","yes",3,22,"-NYG 37","pass","WAS"
"giants_at_commanders_2022_reg_15","New York Giants",1,"2:51","yes",1,10,"-NYG 25","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",1,"2:22","no",2,1,"-NYG 34","run","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",1,"1:48","no",1,10,"-NYG 36","run","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",1,":43","yes",2,11,"-NYG 35","run","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"15:00","yes",3,6,"-NYG 40","pass","NYG"
"giants_at_commanders_2022_reg_15","Washington Commanders",2,"14:08","no",1,10,"-WAS 18","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",2,"13:45","yes",2,8,"-WAS 20","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",2,"13:05","yes",1,10,"-WAS 32","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",2,"12:31","no",1,10,"-WAS 45","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",2,"11:51","no",2,10,"-WAS 45","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",2,"11:20","yes",1,10,"-NYG 44","pass","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",2,"11:13","yes",2,10,"-NYG 44","run","WAS"
"giants_at_commanders_2022_reg_15","Washington Commanders",2,"10:34","yes",3,6,"-NYG 40","pass","WAS"
"giants_at_commanders_2022_reg_15","New York Giants",2,"10:18","no",1,10,"-NYG 3","run","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"9:39","no",2,8,"-NYG 5","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"9:10","yes",1,10,"-NYG 20","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"8:33","yes",2,6,"-NYG 24","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"7:57","no",1,10,"-NYG 30","run","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"7:17","yes",2,15,"-NYG 25","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"6:32","yes",3,9,"-NYG 31","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"5:48","yes",1,10,"-NYG 41","run","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"5:05","yes",2,5,"-NYG 46","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"4:30","yes",1,10,"-WAS 47","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"3:53","yes",2,3,"-WAS 40","run","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"3:14","yes",1,10,"-WAS 36","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"3:08","yes",2,15,"-WAS 41","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"2:31","yes",3,9,"-WAS 35","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"2:23","yes",4,9,"-WAS 35","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"2:00","yes",1,10,"-WAS 24","pass","NYG"
"giants_at_commanders_2022_reg_15","New York Giants",2,"1:51","yes",1,5,"-WAS 5","run","NYG"
