"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"15:00","yes",1,10,"-NYG 25","pass","NYG"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"14:23","no",1,10,"-NYG 45","pass","NYG"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"13:45","yes",2,8,"-NYG 47","pass","NYG"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"13:38","yes",3,8,"-NYG 47","pass","NYG"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"12:46","no",1,10,"-DAL 20","run","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"12:17","yes",1,10,"-DAL 32","pass","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"11:52","no",2,2,"-DAL 40","pass","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"11:45","no",3,2,"-DAL 40","pass","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"11:40","no",4,2,"-DAL 40","run","DAL"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"11:35","no",1,10,"-DAL 40","pass","NYG"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"10:06","no",2,17,"-DAL 24","pass","NYG"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"9:59","yes",2,22,"-DAL 29","pass","NYG"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"9:52","yes",3,22,"-DAL 29","pass","NYG"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"9:44","no",1,10,"-DAL 25","run","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"9:17","no",1,10,"-DAL 40","run","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"9:01","no",1,20,"-DAL 30","pass","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"8:24","no",2,7,"-DAL 43","run","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"7:43","no",1,10,"-NYG 47","run","DAL"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"7:10","yes",1,10,"-NYG 31","run","NYG"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"6:46","no",2,7,"-NYG 34","run","NYG"
"giants_at_cowboys_2022_reg_12","New York Giants",1,"6:09","yes",3,4,"-NYG 37","pass","NYG"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"5:58","no",1,10,"-DAL 7","run","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"5:26","no",2,6,"-DAL 11","run","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"4:48","yes",3,4,"-DAL 13","pass","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"4:05","no",1,10,"-DAL 23","run","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"3:28","no",2,3,"-DAL 30","run","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"2:52","yes",3,3,"-DAL 30","pass","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"2:14","yes",1,10,"-DAL 39","pass","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"1:39","no",2,5,"-DAL 44","run","DAL"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",1,"1:02","yes",3,2,"-DAL 47","run","DAL"
"giants_at_cowboys_2022_reg_12","New York Giants",1,":25","yes",1,10,"-NYG 31","pass","NYG"
"giants_at_cowboys_2022_reg_12","Dallas Cowboys",2,"15:00","no",1,6,"-NYG 6","run","DAL"
"giants_at_cowboys_2022_reg_12","New York Giants",2,"14:55","no",1,10,"-NYG 25","run","NYG"
